artifact_id,artifact_path,artifact_type,source_notebook_or_script,exp_id,has_oof,has_test_pred,has_submission,has_runtime,provenance_status,notes
a0001,birdclef-2026/data/sample_submission.csv,submission_or_test_prediction_csv,,,False,True,True,False,project_level,
a0002,birdclef-2026/data/taxonomy.csv,csv,,,False,False,False,False,project_level,
a0003,birdclef-2026/data/train.csv,csv,,,False,False,False,False,project_level,
a0004,birdclef-2026/data/train_soundscapes_labels.csv,csv,,,False,False,False,False,project_level,
a0005,birdclef-2026/notebooks/_public_amul_yous_sedheavy_w090/bc26-yous-sedheavy-w090-20260517.ipynb,notebook,birdclef-2026/notebooks/_public_amul_yous_sedheavy_w090/bc26-yous-sedheavy-w090-20260517.ipynb,_public_amul_yous_sedheavy_w090,False,False,False,False,linked_to_exp,
a0006,birdclef-2026/notebooks/_public_amul_yous_sedheavy_w090/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/_public_amul_yous_sedheavy_w090/bc26-yous-sedheavy-w090-20260517.ipynb,_public_amul_yous_sedheavy_w090,False,False,False,False,linked_to_exp,
a0007,birdclef-2026/notebooks/_public_kotata_youssef_a1_rankblend_sedup/birdclef-2026-youssef-a1-rankblend-sedup.ipynb,notebook,birdclef-2026/notebooks/_public_kotata_youssef_a1_rankblend_sedup/birdclef-2026-youssef-a1-rankblend-sedup.ipynb,_public_kotata_youssef_a1_rankblend_sedup,False,False,False,False,linked_to_exp,
a0008,birdclef-2026/notebooks/_public_kotata_youssef_a1_rankblend_sedup/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/_public_kotata_youssef_a1_rankblend_sedup/birdclef-2026-youssef-a1-rankblend-sedup.ipynb,_public_kotata_youssef_a1_rankblend_sedup,False,False,False,False,linked_to_exp,
a0009,birdclef-2026/notebooks/_public_kotata_youssef_b1c1_smooth_spike/birdclef-2026-youssef-b1c1-smooth-spike.ipynb,notebook,birdclef-2026/notebooks/_public_kotata_youssef_b1c1_smooth_spike/birdclef-2026-youssef-b1c1-smooth-spike.ipynb,_public_kotata_youssef_b1c1_smooth_spike,False,False,False,False,linked_to_exp,
a0010,birdclef-2026/notebooks/_public_kotata_youssef_b1c1_smooth_spike/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/_public_kotata_youssef_b1c1_smooth_spike/birdclef-2026-youssef-b1c1-smooth-spike.ipynb,_public_kotata_youssef_b1c1_smooth_spike,False,False,False,False,linked_to_exp,
