primary_label,support,best_variant,best_auc,second_auc,sed_quality,sed_margin,sed_trust,auc_zscore,auc_minmax
1161364,0,zscore,0.5,0.5,0.0,0.0,0.0,,
116570,13,zscore,0.36425012,0.24560045,0.0,1.0,0.0,0.36425012,0.24560045
1176823,0,zscore,0.5,0.5,0.0,0.0,0.0,,
1491113,79,zscore,0.6563764,0.45195308,0.3879213,1.0,0.42826962,0.6563764,0.45195308
1595929,0,zscore,0.5,0.5,0.0,0.0,0.0,,
209233,0,zscore,0.5,0.5,0.0,0.0,0.0,,
22930,0,zscore,0.5,0.5,0.0,0.0,0.0,,
22956,0,zscore,0.5,0.5,0.0,0.0,0.0,,
22961,36,minmax,0.5920552,0.5791584,0.17351726,0.12896776,0.24752298,0.5791584,0.5920552
22967,155,zscore,0.6177332,0.3877326,0.2591105,1.0,0.34583074,0.6177332,0.3877326
22973,212,zscore,0.6339109,0.47914448,0.31303623,1.0,0.3803432,0.6339109,0.47914448
22983,0,zscore,0.5,0.5,0.0,0.0,0.0,,
22985,0,zscore,0.5,0.5,0.0,0.0,0.0,,
23150,0,zscore,0.5,0.5,0.0,0.0,0.0,,
23154,0,zscore,0.5,0.5,0.0,0.0,0.0,,
23158,175,minmax,0.78346825,0.5030394,0.8115607,1.0,0.6993988,0.5030394,0.78346825
23176,0,zscore,0.5,0.5,0.0,0.0,0.0,,
23724,0,zscore,0.5,0.5,0.0,0.0,0.0,,
24279,173,minmax,0.759678,0.5021555,0.7322599,1.0,0.64864635,0.5021555,0.759678
24285,0,zscore,0.5,0.5,0.0,0.0,0.0,,
24287,0,zscore,0.5,0.5,0.0,0.0,0.0,,
24321,172,minmax,0.79651165,0.4234424,0.8550387,1.0,0.72722477,0.4234424,0.79651165
244024,0,zscore,0.5,0.5,0.0,0.0,0.0,,
25073,12,zscore,0.49796456,0.40110153,0.0,0.9686303,0.0,0.49796456,0.40110153
25092,24,minmax,0.7453095,0.2579191,0.6843648,1.0,0.6179935,0.2579191,0.7453095
25214,0,zscore,0.5,0.5,0.0,0.0,0.0,,
326272,23,zscore,0.33500475,0.15823548,0.0,1.0,0.0,0.33500475,0.15823548
41970,0,zscore,0.5,0.5,0.0,0.0,0.0,,
43435,12,zscore,0.54501915,0.3829023,0.016730428,1.0,0.0,0.54501915,0.3829023
47144,15,zscore,0.7848966,0.28908128,0.8163219,1.0,0.70244604,0.7848966,0.28908128
47158son01,23,zscore,0.13043478,0.07311965,0.0,0.57315135,0.0,0.13043478,0.07311965
47158son02,7,zscore,0.47951907,0.42846954,0.0,0.5104953,0.0,0.47951907,0.42846954
47158son03,33,zscore,0.29063973,0.26747474,0.0,0.23164988,0.0,0.29063973,0.26747474
47158son04,17,zscore,0.19758236,0.17732187,0.0,0.20260498,0.0,0.19758236,0.17732187
47158son05,3,zscore,0.35791963,0.29739952,0.0,0.6052011,0.0,0.35791963,0.29739952
47158son06,18,zscore,0.4468599,0.24967794,0.0,1.0,0.0,0.4468599,0.24967794
47158son07,48,minmax,0.3567235,0.28036615,0.0,0.76357335,0.0,0.28036615,0.3567235
47158son08,17,minmax,0.34323657,0.32255045,0.0,0.2068612,0.0,0.32255045,0.34323657
47158son09,6,zscore,0.20916429,0.12630579,0.0,0.828585,0.0,0.20916429,0.12630579
47158son10,33,minmax,0.18235691,0.1694276,0.0,0.12929305,0.0,0.1694276,0.18235691
47158son11,36,zscore,0.30795303,0.2945602,0.0,0.13392836,0.0,0.30795303,0.2945602
47158son12,5,zscore,0.22702703,0.05775249,0.0,1.0,0.0,0.22702703,0.05775249
47158son13,36,zscore,0.25442296,0.16782407,0.0,0.86598885,0.0,0.25442296,0.16782407
47158son14,12,zscore,0.6388889,0.35751915,0.32962957,1.0,0.39096293,0.6388889,0.35751915
47158son15,12,zscore,0.6570881,0.30411878,0.39029357,1.0,0.42978787,0.6570881,0.30411878
47158son16,12,zscore,0.55914754,0.26065612,0.06382505,1.0,0.0,0.55914754,0.26065612
47158son17,43,zscore,0.40611994,0.32878125,0.0,0.77338696,0.0,0.40611994,0.32878125
47158son18,12,zscore,0.51784,0.37296456,0.0,1.0,0.0,0.51784,0.37296456
47158son19,5,minmax,0.39061168,0.2753912,0.0,1.0,0.0,0.2753912,0.39061168
47158son20,12,minmax,0.4107998,0.29837164,0.0,1.0,0.0,0.29837164,0.4107998
47158son21,22,zscore,0.16591571,0.07381394,0.0,0.92101777,0.0,0.16591571,0.07381394
47158son22,24,zscore,0.19499269,0.10020711,0.0,0.9478558,0.0,0.19499269,0.10020711
47158son23,24,zscore,0.18518518,0.09423733,0.0,0.9094785,0.0,0.18518518,0.09423733
47158son24,24,zscore,0.33516082,0.19986598,0.0,1.0,0.0,0.33516082,0.19986598
47158son25,84,zscore,0.36109203,0.1636714,0.0,1.0,0.0,0.36109203,0.1636714
476521,0,zscore,0.5,0.5,0.0,0.0,0.0,,
516975,0,zscore,0.5,0.5,0.0,0.0,0.0,,
517063,307,zscore,0.7008537,0.6009894,0.53617895,0.99864304,0.522945,0.7008537,0.6009894
555123,0,zscore,0.5,0.5,0.0,0.0,0.0,,
555145,0,zscore,0.5,0.5,0.0,0.0,0.0,,
555146,203,minmax,0.87107253,0.56846315,1.0,1.0,0.82,0.56846315,0.87107253
64898,0,zscore,0.5,0.5,0.0,0.0,0.0,,
65377,9,zscore,0.46049914,0.29534256,0.0,1.0,0.0,0.46049914,0.29534256
65380,333,minmax,0.8033233,0.6352833,0.8777443,1.0,0.7417564,0.6352833,0.8033233
66971,149,minmax,0.8383139,0.51148385,0.99437946,1.0,0.81640285,0.51148385,0.8383139
