primary_label,support,sed_auc_v110_like,sed_auc_v113_like,sed_auc_delta
1161364,0,0.5,0.5,0.0
116570,13,0.5962922,0.36425012,-0.23204207
1176823,0,0.5,0.5,0.0
1491113,79,0.6959711,0.6563764,-0.03959465
1595929,0,0.5,0.5,0.0
209233,0,0.5,0.5,0.0
22930,0,0.5,0.5,0.0
22956,0,0.5,0.5,0.0
22961,36,0.72147816,0.5920552,-0.12942296
22967,155,0.8507029,0.6177332,-0.2329697
22973,212,0.9033019,0.6339109,-0.269391
22983,0,0.5,0.5,0.0
22985,0,0.5,0.5,0.0
23150,0,0.5,0.5,0.0
23154,0,0.5,0.5,0.0
23158,175,0.92650765,0.78346825,-0.1430394
23176,0,0.5,0.5,0.0
23724,0,0.5,0.5,0.0
24279,173,0.95717144,0.759678,-0.19749343
24285,0,0.5,0.5,0.0
24287,0,0.5,0.5,0.0
24321,172,0.6358469,0.79651165,0.16066474
244024,0,0.5,0.5,0.0
25073,12,0.80172414,0.49796456,-0.30375957
25092,24,0.55586016,0.7453095,0.18944931
25214,0,0.5,0.5,0.0
326272,23,0.79200256,0.33500475,-0.4569978
41970,0,0.5,0.5,0.0
43435,12,1.0,0.54501915,-0.45498085
47144,15,0.92140454,0.7848966,-0.13650793
47158son01,23,0.714789,0.13043478,-0.58435416
47158son02,7,0.5,0.47951907,-0.02048093
47158son03,33,0.74565655,0.29063973,-0.45501682
47158son04,17,0.7860305,0.19758236,-0.5884481
47158son05,3,0.6957447,0.35791963,-0.33782506
47158son06,18,0.5,0.4468599,-0.053140104
47158son07,48,0.5204545,0.3567235,-0.16373104
47158son08,17,0.69868904,0.34323657,-0.35545248
47158son09,6,0.2948718,0.20916429,-0.085707515
47158son10,33,0.553064,0.18235691,-0.3707071
47158son11,36,0.42857143,0.30795303,-0.1206184
47158son12,5,0.5,0.22702703,-0.27297297
47158son13,36,0.8125,0.25442296,-0.55807704
47158son14,12,0.5,0.6388889,0.1388889
47158son15,12,0.9137931,0.6570881,-0.256705
47158son16,12,0.9137931,0.55914754,-0.35464555
47158son17,43,0.6328204,0.40611994,-0.22670048
47158son18,12,0.9051724,0.51784,-0.38733238
47158son19,5,0.8601707,0.39061168,-0.46955904
47158son20,12,0.9051724,0.4107998,-0.4943726
47158son21,22,0.8061224,0.16591571,-0.6402067
47158son22,24,0.80701756,0.19499269,-0.6120249
47158son23,24,0.80701756,0.18518518,-0.6218324
47158son24,24,0.8114035,0.33516082,-0.4762427
47158son25,84,0.5082418,0.36109203,-0.14714974
476521,0,0.5,0.5,0.0
516975,0,0.5,0.5,0.0
517063,307,0.6666883,0.7008537,0.034165382
555123,0,0.5,0.5,0.0
555145,0,0.5,0.5,0.0
555146,203,0.96200556,0.87107253,-0.090933025
64898,0,0.5,0.5,0.0
65377,9,0.95930696,0.46049914,-0.49880782
65380,333,0.9691451,0.8033233,-0.16582179
66971,149,0.95498914,0.8383139,-0.11667526
67107,9,0.8092513,0.38896838,-0.42028293
67252,2,1.0,0.8930595,-0.10694051
70711,0,0.5,0.5,0.0
738183,0,0.5,0.5,0.0
74113,2,0.9121813,0.4398017,-0.47237962
74580,0,0.5,0.5,0.0
760266,0,0.5,0.5,0.0
ashgre1,0,0.5,0.5,0.0
astcra1,0,0.5,0.5,0.0
bafcur1,9,0.9790176,0.18041646,-0.79860115
baffal1,0,0.5,0.5,0.0
banana,0,0.5,0.5,0.0
barant1,0,0.5,0.5,0.0
batbel1,0,0.5,0.5,0.0
baymac,0,0.5,0.5,0.0
bbwduc,0,0.5,0.5,0.0
bcwfin2,0,0.5,0.5,0.0
bkcdon,0,0.5,0.5,0.0
bkhpar,0,0.5,0.5,0.0
blchaw1,0,0.5,0.5,0.0
blheag1,0,0.5,0.5,0.0
blttit1,0,0.5,0.5,0.0
bncfly,0,0.5,0.5,0.0
bobfly1,0,0.5,0.5,0.0
brcmar1,0,0.5,0.5,0.0
brnowl,0,0.5,0.5,0.0
bucmot4,0,0.5,0.5,0.0
bucpar,0,0.5,0.5,0.0
bufpar,14,0.9990737,0.55485797,-0.44421571
bunibi1,2,0.7308782,0.9121813,0.18130314
burowl,0,0.5,0.5,0.0
camfli1,0,0.5,0.5,0.0
chacha1,63,0.95110124,0.43339485,-0.5177064
chbmoc1,0,0.5,0.5,0.0
chobla1,0,0.5,0.5,0.0
chvcon1,35,0.9992783,0.32218212,-0.6770962
cibspi1,0,0.5,0.5,0.0
coffal1,0,0.5,0.5,0.0
compau,37,0.9543642,0.6012003,-0.3531639
compot1,3,0.9801418,0.59479904,-0.38534278
crbthr1,0,0.5,0.5,0.0
crebec1,0,0.5,0.5,0.0
dwatin1,0,0.5,0.5,0.0
epaori4,0,0.5,0.5,0.0
eulfly1,0,0.5,0.5,0.0
fabwre1,0,0.5,0.5,0.0
fepowl,0,0.5,0.5,0.0
ficman1,0,0.5,0.5,0.0
