primary_label,support,same_col,best_col,remapped,strength,same_auc,best_auc,same_corr,best_corr
1161364,0,0,0,False,0.0,,,,
116570,13,1,1,False,0.0,0.78616494,0.92407304,0.18027359,0.26375887
1176823,0,2,2,False,0.0,,,,
1491113,79,3,3,False,0.0,0.39260632,0.7380612,-0.12027856,0.2391146
1595929,0,4,4,False,0.0,,,,
209233,0,5,5,False,0.0,,,,
22930,0,6,6,False,0.0,,,,
22956,0,7,7,False,0.0,,,,
22961,36,8,8,False,0.0,0.8418072,0.89132774,0.2986202,0.30426502
22967,155,9,9,False,0.0,0.7040775,0.7392872,0.3456702,0.34584218
22973,212,10,10,False,0.0,0.72895426,0.75325245,0.48125303,0.38941202
22983,0,11,11,False,0.0,,,,
22985,0,12,12,False,0.0,,,,
23150,0,13,13,False,0.0,,,,
23154,0,14,14,False,0.0,,,,
23158,175,15,15,False,0.0,0.93376577,0.93376577,0.7060561,0.7060561
23176,0,16,16,False,0.0,,,,
23724,0,17,17,False,0.0,,,,
24279,173,18,18,False,0.0,0.91267896,0.91267896,0.64661986,0.64661986
24285,0,19,19,False,0.0,,,,
24287,0,20,20,False,0.0,,,,
24321,172,21,21,False,0.0,0.7711515,0.8597492,0.3741535,0.45168117
244024,0,22,22,False,0.0,,,,
25073,12,23,23,False,0.0,0.41056034,0.96779215,-0.048873406,0.350974
25092,24,24,24,False,0.0,0.92001706,0.96241474,0.4207568,0.44771352
25214,0,25,25,False,0.0,,,,
326272,23,26,26,False,0.0,0.7139321,0.9041574,0.03926451,0.32001984
41970,0,27,27,False,0.0,,,,
43435,12,28,28,False,0.0,1.0,1.0,0.8308121,0.8308121
47144,15,29,29,False,0.0,0.9015873,0.9015873,0.47913364,0.47913364
47158son01,23,30,30,False,0.0,0.9369089,0.98114884,0.36207697,0.49749964
47158son02,7,31,31,False,0.0,0.7409823,0.9955166,0.058294732,0.5875913
47158son03,33,32,32,False,0.0,0.71910214,0.9300112,0.19979908,0.5126105
47158son04,17,33,33,False,0.0,0.2670469,0.9327488,-0.10596524,0.6334309
47158son05,3,34,34,False,0.0,0.4921986,0.9423168,-0.0030850905,0.16672008
47158son06,18,35,35,False,0.0,0.47729468,0.85877615,-0.0130025055,0.31430596
47158son07,48,36,36,False,0.0,0.57541037,0.9995581,0.0133423535,0.8589346
47158son08,17,37,37,False,0.0,0.6811101,0.9053375,0.07839088,0.30504107
47158son09,6,38,38,False,0.0,0.88271606,0.97507125,0.12240473,0.24449132
47158son10,33,39,39,False,0.0,0.3477441,0.8360494,-0.10084826,0.23855911
47158son11,36,40,40,False,0.0,0.6773313,0.9349372,0.1390348,0.44192794
47158son12,5,41,41,False,0.0,0.8921764,0.96899,0.12541316,0.2048944
47158son13,36,42,42,False,0.0,0.801546,0.9652778,0.40959564,0.64906764
47158son14,12,43,43,False,0.0,0.67456895,1.0,0.046844292,0.8308121
47158son15,12,44,44,False,0.0,0.86039275,0.99556994,0.16474782,0.59385556
47158son16,12,45,45,False,0.0,0.83105844,0.99556994,0.14624959,0.59385556
47158son17,43,46,46,False,0.0,0.6862738,0.94355655,0.12434027,0.48225248
47158son18,12,47,47,False,0.0,0.9426485,0.9837165,0.24655624,0.5378265
47158son19,5,48,48,False,0.0,0.64295876,0.96216214,0.024903927,0.1909114
47158son20,12,49,49,False,0.0,0.8530891,0.9601293,0.21024975,0.33526668
47158son21,22,50,50,False,0.0,0.8536311,0.9886695,0.22512019,0.64949864
47158son22,24,51,51,False,0.0,0.91837233,0.9911062,0.35168016,0.70168704
47158son23,24,52,52,False,0.0,0.9116106,0.9911062,0.35418093,0.70168704
47158son24,24,53,53,False,0.0,0.5637183,0.9301292,0.031458985,0.36554274
47158son25,84,54,54,False,0.0,0.7336882,0.8922276,0.27522352,0.45800045
476521,0,55,55,False,0.0,,,,
516975,0,56,56,False,0.0,,,,
517063,307,57,57,False,0.0,0.407158,0.76189005,-0.13622092,0.33940265
555123,0,58,58,False,0.0,,,,
555145,0,59,59,False,0.0,,,,
555146,203,60,60,False,0.0,0.84513485,0.88335365,0.6395951,0.6589184
64898,0,61,61,False,0.0,,,,
65377,9,62,62,False,0.0,0.8895247,0.985058,0.16887574,0.4114666
65380,333,63,63,False,0.0,0.8487608,0.92092896,0.5083997,0.6189247
66971,149,64,64,False,0.0,0.82484305,0.8371613,0.4605951,0.46074796
67107,9,65,65,False,0.0,0.5062788,0.9585122,0.004679238,0.27989462
67252,2,66,66,False,0.0,0.9348442,0.9773371,0.2082752,0.1518626
70711,0,67,67,False,0.0,,,,
738183,0,68,68,False,0.0,,,,
74113,2,69,69,False,0.0,0.83144474,0.9957507,0.05535431,0.1941936
74580,0,70,70,False,0.0,,,,
760266,0,71,71,False,0.0,,,,
ashgre1,0,72,72,False,0.0,,,,
astcra1,0,73,73,False,0.0,,,,
bafcur1,9,74,74,False,0.0,0.88968366,0.9928469,0.19447163,0.66242903
baffal1,0,75,75,False,0.0,,,,
banana,0,76,76,False,0.0,,,,
barant1,0,77,77,False,0.0,,,,
batbel1,0,78,78,False,0.0,,,,
baymac,0,79,79,False,0.0,,,,
bbwduc,0,80,80,False,0.0,,,,
bcwfin2,0,81,81,False,0.0,,,,
bkcdon,0,82,82,False,0.0,,,,
bkhpar,0,83,83,False,0.0,,,,
blchaw1,0,84,84,False,0.0,,,,
blheag1,0,85,85,False,0.0,,,,
blttit1,0,86,86,False,0.0,,,,
bncfly,0,87,87,False,0.0,,,,
bobfly1,0,88,88,False,0.0,,,,
brcmar1,0,89,89,False,0.0,,,,
brnowl,0,90,90,False,0.0,,,,
bucmot4,0,91,91,False,0.0,,,,
bucpar,0,92,92,False,0.0,,,,
bufpar,14,93,93,False,0.0,0.9762248,0.9762248,0.70777786,0.70777786
bunibi1,2,94,94,False,0.0,0.30949008,0.9943343,-0.035792004,0.2029841
burowl,0,95,95,False,0.0,,,,
camfli1,0,96,96,False,0.0,,,,
chacha1,63,97,97,False,0.0,0.94657314,0.94657314,0.6705801,0.6705801
chbmoc1,0,98,98,False,0.0,,,,
chobla1,0,99,99,False,0.0,,,,
chvcon1,35,100,100,False,0.0,0.9956697,0.99702823,0.7276246,0.75597036
cibspi1,0,101,101,False,0.0,,,,
coffal1,0,102,102,False,0.0,,,,
compau,37,103,103,False,0.0,0.8955573,0.8955573,0.43291882,0.43291882
compot1,3,104,104,False,0.0,0.87092197,0.9905437,0.07907434,0.26611236
crbthr1,0,105,105,False,0.0,,,,
crebec1,0,106,106,False,0.0,,,,
dwatin1,0,107,107,False,0.0,,,,
epaori4,0,108,108,False,0.0,,,,
eulfly1,0,109,109,False,0.0,,,,
fabwre1,0,110,110,False,0.0,,,,
fepowl,0,111,111,False,0.0,,,,
ficman1,0,112,112,False,0.0,,,,
flawar1,0,113,113,False,0.0,,,,
fotfly,0,114,114,False,0.0,,,,
fusfly1,3,115,115,False,0.0,0.93049645,0.992435,0.20506491,0.28517526
gilhum1,0,116,116,False,0.0,,,,
giwrai1,0,117,117,False,0.0,,,,
glteme1,0,118,118,False,0.0,,,,
grasal3,0,119,119,False,0.0,,,,
greani1,0,120,120,False,0.0,,,,
greant1,0,121,121,False,0.0,,,,
greela,0,122,122,False,0.0,,,,
grekis,0,123,123,False,0.0,,,,
grepot1,0,124,124,False,0.0,,,,
gretho2,0,125,125,False,0.0,,,,
greyel,0,126,126,False,0.0,,,,
grfdov1,0,127,127,False,0.0,,,,
grhtan1,0,128,128,False,0.0,,,,
gycwor1,0,129,129,False,0.0,,,,
horscr1,0,130,130,False,0.0,,,,
houspa,0,131,131,False,0.0,,,,
hyamac1,10,132,132,False,0.0,0.9991404,0.9991404,0.7721944,0.7721944
larela1,0,133,133,False,0.0,,,,
lesela1,0,134,134,False,0.0,,,,
lesgrf1,0,135,135,False,0.0,,,,
limpki,3,136,136,False,0.0,0.7938534,0.9867612,0.09716069,0.21846962
linwoo1,0,137,137,False,0.0,,,,
litcuc2,0,138,138,False,0.0,,,,
litnig1,37,139,139,False,0.0,0.87267894,0.87267894,0.5616367,0.5616367
mabpar,0,140,140,False,0.0,,,,
magant1,5,141,141,False,0.0,0.7325747,0.9698435,0.027548123,0.2620178
magtan2,0,142,142,False,0.0,,,,
masgna1,0,143,143,False,0.0,,,,
nacnig1,11,144,144,False,0.0,0.7472284,0.9349159,0.072036795,0.20646414
ocecra1,0,145,145,False,0.0,,,,
oliwoo1,0,146,146,False,0.0,,,,
orbtro3,0,147,147,False,0.0,,,,
orwpar,13,148,148,False,0.0,0.9706696,0.9898174,0.40827298,0.41075903
osprey,0,149,149,False,0.0,,,,
pabspi1,0,150,150,False,0.0,,,,
palhor3,0,151,151,False,0.0,,,,
paltan1,0,152,152,False,0.0,,,,
phecuc1,0,153,153,False,0.0,,,,
picpig2,0,154,154,False,0.0,,,,
pirfly1,0,155,155,False,0.0,,,,
plasla1,0,156,156,False,0.0,,,,
platyr1,0,157,157,False,0.0,,,,
plcjay1,0,158,158,False,0.0,,,,
pluibi1,0,159,159,False,0.0,,,,
purjay1,5,160,160,False,0.0,0.885064,0.99174964,0.12575208,0.4162635
pvttyr1,0,161,161,False,0.0,,,,
ragmac1,0,162,162,False,0.0,,,,
rebscy1,0,163,163,False,0.0,,,,
recfin1,0,164,164,False,0.0,,,,
redjun,12,165,165,False,0.0,0.6108717,0.804478,0.04960321,0.13456388
relser1,0,166,166,False,0.0,,,,
rinkin1,0,167,167,False,0.0,,,,
rivwar1,0,168,168,False,0.0,,,,
roahaw,0,169,169,False,0.0,,,,
rubthr1,0,170,170,False,0.0,,,,
rufcac2,0,171,171,False,0.0,,,,
rufcas2,0,172,172,False,0.0,,,,
rufgna3,0,173,173,False,0.0,,,,
rufhor2,4,174,174,False,0.0,0.8714489,0.99396306,0.15629932,0.4100254
rufnig1,0,175,175,False,0.0,,,,
ruftho1,0,176,176,False,0.0,,,,
ruftof1,0,177,177,False,0.0,,,,
rumfly1,0,178,178,False,0.0,,,,
ruther1,1,179,179,False,0.0,,,,
rutjac1,1,180,180,False,0.0,,,,
sabspa1,0,181,181,False,0.0,,,,
saffin,0,182,182,False,0.0,,,,
saytan1,0,183,183,False,0.0,,,,
scadov1,0,184,184,False,0.0,,,,
schpar1,0,185,185,False,0.0,,,,
scther1,0,186,186,False,0.0,,,,
shcfly1,0,187,187,False,0.0,,,,
shshaw,0,188,188,False,0.0,,,,
shtnig1,0,189,189,False,0.0,,,,
sibtan2,1,190,190,False,0.0,,,,
smbani,0,191,191,False,0.0,,,,
smbtin1,0,192,192,False,0.0,,,,
sobcac1,0,193,193,False,0.0,,,,
sobtyr1,0,194,194,False,0.0,,,,
socfly1,0,195,195,False,0.0,,,,
sofspi1,0,196,196,False,0.0,,,,
souant1,0,197,197,False,0.0,,,,
soulap1,0,198,198,False,0.0,,,,
souscr1,0,199,199,False,0.0,,,,
spbant3,0,200,200,False,0.0,,,,
spispi1,0,201,201,False,0.0,,,,
sptnig1,0,202,202,False,0.0,,,,
squcuc1,0,203,203,False,0.0,,,,
stbwoo2,0,204,204,False,0.0,,,,
strcuc1,0,205,205,False,0.0,,,,
strher2,2,206,206,False,0.0,0.3137394,0.9773371,-0.03399294,0.21652262
strowl1,0,207,207,False,0.0,,,,
swthum1,0,208,208,False,0.0,,,,
swtman1,0,209,209,False,0.0,,,,
tattin1,0,210,210,False,0.0,,,,
thlwre1,0,211,211,False,0.0,,,,
toctou1,0,212,212,False,0.0,,,,
trokin,0,213,213,False,0.0,,,,
trsowl,26,214,214,False,0.0,0.7947778,0.83780736,0.280195,0.30628428
undtin1,43,215,215,False,0.0,0.70785105,0.70785105,0.2657171,0.2657171
varant1,0,216,216,False,0.0,,,,
watjac1,0,217,217,False,0.0,,,,
wesfie1,0,218,218,False,0.0,,,,
wfwduc1,1,219,219,False,0.0,,,,
whbant2,0,220,220,False,0.0,,,,
whbwar2,0,221,221,False,0.0,,,,
whiwoo1,0,222,222,False,0.0,,,,
whlspi1,0,223,223,False,0.0,,,,
whnjay1,0,224,224,False,0.0,,,,
whtdov,63,225,225,False,0.0,0.9449735,0.9663591,0.6861574,0.7385149
whwpic1,0,226,226,False,0.0,,,,
y00678,0,227,227,False,0.0,,,,
yebcar,0,228,228,False,0.0,,,,
yebela1,0,229,229,False,0.0,,,,
yecmac,0,230,230,False,0.0,,,,
yecpar,0,231,231,False,0.0,,,,
yehcar1,0,232,232,False,0.0,,,,
yeofly1,0,233,233,False,0.0,,,,
