primary_label,support,same_col,best_col,remapped,strength,same_auc,best_auc,same_corr,best_corr
1161364,0,0,0,False,0.0,,,,
116570,13,1,188,True,0.56594026,0.8272275,0.91488653,0.2248928,0.2565816
1176823,0,2,2,False,0.0,,,,
1491113,79,3,3,False,0.0,0.81421185,0.8468334,0.37922812,0.3501673
1595929,0,4,4,False,0.0,,,,
209233,0,5,5,False,0.0,,,,
22930,0,6,6,False,0.0,,,,
22956,0,7,7,False,0.0,,,,
22961,36,8,8,False,0.0,0.7876157,0.8078704,0.23620762,0.3811661
22967,155,9,9,False,0.0,0.8712711,0.8712711,0.54034775,0.54034775
22973,212,10,10,False,0.0,0.8475255,0.86654556,0.47650382,0.43165705
22983,0,11,11,False,0.0,,,,
22985,0,12,12,False,0.0,,,,
23150,0,13,13,False,0.0,,,,
23154,0,14,14,False,0.0,,,,
23158,175,15,15,False,0.0,0.89121413,0.92717236,0.55441445,0.5771213
23176,0,16,16,False,0.0,,,,
23724,0,17,17,False,0.0,,,,
24279,173,18,18,False,0.0,0.8577927,0.8712009,0.40844318,0.5175865
24285,0,19,19,False,0.0,,,,
24287,0,20,20,False,0.0,,,,
24321,172,21,21,False,0.0,0.82797855,0.8572219,0.4263612,0.5312647
244024,0,22,22,False,0.0,,,,
25073,12,23,23,False,0.0,0.85775864,0.88948756,0.19979067,0.3634659
25092,24,24,22,True,0.88,0.6346248,0.8210892,0.13545896,0.30677977
25214,0,25,25,False,0.0,,,,
326272,23,26,134,True,0.88,0.71850204,0.8516027,0.08966693,0.3825851
41970,0,27,27,False,0.0,,,,
43435,12,28,233,True,0.7926442,0.92349136,0.9839559,0.2019877,0.481518
47144,15,29,29,False,0.0,0.93689275,0.94574314,0.43528408,0.47839314
47158son01,23,30,30,False,0.0,0.9329737,0.9476991,0.55004936,0.4960981
47158son02,7,31,233,True,0.84570414,0.8830243,0.97962093,0.13790254,0.38336316
47158son03,33,32,188,True,0.88,0.7311336,0.91196406,0.22702262,0.34659973
47158son04,17,33,134,True,0.88,0.65046394,0.9163191,0.013036493,0.29086468
47158son05,3,34,101,True,0.7687624,0.7319149,0.8718676,0.048486415,0.13589089
47158son06,18,35,172,True,0.8082814,0.8535427,0.95668274,0.21278132,0.412879
47158son07,48,36,221,True,0.88,0.9010732,0.9891414,0.4541114,0.7720058
47158son08,17,37,37,False,0.0,0.79305357,0.8340002,0.13160071,0.12660189
47158son09,6,38,38,False,0.0,0.94871795,0.9814815,0.2538204,0.34582344
47158son10,33,39,185,True,0.88,0.65948373,0.87205386,0.1430432,0.3148146
47158son11,36,40,40,False,0.0,0.8154349,0.8659474,0.18548529,0.377642
47158son12,5,41,217,True,0.5425838,0.90611666,0.97411096,0.17132698,0.22615916
47158son13,36,42,42,False,0.0,0.9317543,0.9317543,0.62515676,0.62515676
47158son14,12,43,43,False,0.0,0.94671935,0.9839559,0.29276523,0.481518
47158son15,12,44,44,False,0.0,0.94971263,0.9911398,0.29587138,0.54030174
47158son16,12,45,45,False,0.0,0.94863504,0.9911398,0.29597548,0.54030174
47158son17,43,46,46,False,0.0,0.9538031,0.9650638,0.4878824,0.64158213
47158son18,12,47,47,False,0.0,0.9244492,0.97880745,0.2513023,0.40646276
47158son19,5,48,48,False,0.0,0.86628735,0.9083926,0.103259645,0.1288684
47158son20,12,49,49,False,0.0,0.90229887,0.9197797,0.16880737,0.15938573
47158son21,22,50,50,False,0.0,0.98972964,0.99834347,0.7143611,0.7165326
47158son22,24,51,51,False,0.0,0.9906189,0.99975634,0.74215263,0.7475888
47158son23,24,52,52,False,0.0,0.9886696,0.99975634,0.7339668,0.7475888
47158son24,24,53,191,True,0.7271269,0.83966863,0.9301292,0.26953867,0.42947993
47158son25,84,54,188,True,0.6864246,0.7475771,0.8776519,0.4383283,0.47852013
476521,0,55,55,False,0.0,,,,
516975,0,56,56,False,0.0,,,,
517063,307,57,57,False,0.0,0.6417507,0.69320995,0.21305704,0.30162558
555123,0,58,58,False,0.0,,,,
555145,0,59,59,False,0.0,,,,
555146,203,60,60,False,0.0,0.89778084,0.92724967,0.6347682,0.649028
64898,0,61,61,False,0.0,,,,
65377,9,62,62,False,0.0,0.9669369,0.9868066,0.30229038,0.53420186
65380,333,63,63,False,0.0,0.92385983,0.92385983,0.5184252,0.5184252
66971,149,64,64,False,0.0,0.9097381,0.91735,0.6212956,0.64254814
67107,9,65,101,True,0.5978847,0.7970116,0.8539183,0.16812351,0.29306296
67252,2,66,66,False,0.0,0.8902266,0.8909348,0.058858998,0.13642372
70711,0,67,67,False,0.0,,,,
738183,0,68,68,False,0.0,,,,
74113,2,69,69,False,0.0,0.94405097,0.97875357,0.11453057,0.23464331
74580,0,70,70,False,0.0,,,,
760266,0,71,71,False,0.0,,,,
ashgre1,0,72,72,False,0.0,,,,
astcra1,0,73,73,False,0.0,,,,
bafcur1,9,74,156,True,0.88,0.8219679,0.99920523,0.086968616,0.4139692
baffal1,0,75,75,False,0.0,,,,
banana,0,76,76,False,0.0,,,,
barant1,0,77,77,False,0.0,,,,
batbel1,0,78,78,False,0.0,,,,
baymac,0,79,79,False,0.0,,,,
bbwduc,0,80,80,False,0.0,,,,
bcwfin2,0,81,81,False,0.0,,,,
bkcdon,0,82,82,False,0.0,,,,
bkhpar,0,83,83,False,0.0,,,,
blchaw1,0,84,84,False,0.0,,,,
blheag1,0,85,85,False,0.0,,,,
blttit1,0,86,86,False,0.0,,,,
bncfly,0,87,87,False,0.0,,,,
bobfly1,0,88,88,False,0.0,,,,
brcmar1,0,89,89,False,0.0,,,,
brnowl,0,90,90,False,0.0,,,,
bucmot4,0,91,91,False,0.0,,,,
bucpar,0,92,92,False,0.0,,,,
bufpar,14,93,159,True,0.88,0.7840675,0.93927544,0.09702634,0.4265521
bunibi1,2,94,113,True,0.88,0.5552408,0.8725212,-0.0050970917,0.0523687
burowl,0,95,95,False,0.0,,,,
camfli1,0,96,96,False,0.0,,,,
chacha1,63,97,216,True,0.88,0.67400026,0.86558384,0.10815692,0.41192588
chbmoc1,0,98,98,False,0.0,,,,
chobla1,0,99,99,False,0.0,,,,
chvcon1,35,100,221,True,0.88,0.7223944,0.9838251,0.18418014,0.7180629
cibspi1,0,101,101,False,0.0,,,,
