exp_id,notebook_path,artifact_paths,has_oof,has_test_pred,has_submission,has_runtime_log,has_config,model_family_guess,public_lb_if_visible_from_filename_or_log,status_candidate_teacher_reject_unknown,reason,next_required_action
_public_amul_yous_sedheavy_w090,birdclef-2026/notebooks/_public_amul_yous_sedheavy_w090/bc26-yous-sedheavy-w090-20260517.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,teacher_only_or_reference,public/reference notebook without local OOF,preserve_attribution_and_do_not_promote_without_oof
_public_kotata_youssef_a1_rankblend_sedup,birdclef-2026/notebooks/_public_kotata_youssef_a1_rankblend_sedup/birdclef-2026-youssef-a1-rankblend-sedup.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,,teacher_only_or_reference,public/reference notebook without local OOF,preserve_attribution_and_do_not_promote_without_oof
_public_kotata_youssef_b1c1_smooth_spike,birdclef-2026/notebooks/_public_kotata_youssef_b1c1_smooth_spike/birdclef-2026-youssef-b1c1-smooth-spike.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,teacher_only_or_reference,public/reference notebook without local OOF,preserve_attribution_and_do_not_promote_without_oof
_public_sunderekkiz_exp019_eos4_rank_power_06,birdclef-2026/notebooks/_public_sunderekkiz_exp019_eos4_rank_power_06/birdclef-2026-exp019-eos4-rank-power-06.ipynb,,False,False,False,False,True,perch+sed+onnx+eos+rank+distill,,teacher_only_or_reference,public/reference notebook without local OOF,preserve_attribution_and_do_not_promote_without_oof
_public_vyanktesh_protossm_sed_0948,birdclef-2026/notebooks/_public_vyanktesh_protossm_sed_0948/birdclef-2026-protossm-sed-0-948.ipynb,,False,False,False,False,True,perch+sed+onnx+protossm+distill,,teacher_only_or_reference,public/reference notebook without local OOF,preserve_attribution_and_do_not_promote_without_oof
fork-starter,birdclef-2026/notebooks/fork-starter/perch-v2-starter-train-infer.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
my-baseline,birdclef-2026/notebooks/my-baseline/baseline.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
onnx-perch-seq,birdclef-2026/notebooks/onnx-perch-seq/birdclef-2026-onnx-perch-sequence-modeling.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
public-references,,,False,False,False,False,False,unknown,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
starter-perch-v2,birdclef-2026/notebooks/starter-perch-v2/perch-v2-starter-train-infer.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
