candidate_group,name,source,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
claudedevore_a2prime_effv2s,submission_a2_effv2s_w05,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_a2_effv2s_w05.csv,240,234,614,41,0.98075028,0.92896447,0.18965517,0.49425287,0.02025,1.0,0.5017591,0.21577359
claudedevore_a2prime_effv2s,submission_a2_effv2s_w08,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_a2_effv2s_w08.csv,240,234,614,41,0.97746827,0.92673386,0.17816092,0.50574713,0.02491667,1.0,0.50183459,0.20991689
claudedevore_a2prime_effv2s,submission_a2_effv2s_w10,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_a2_effv2s_w10.csv,240,234,614,41,0.97454148,0.92469322,0.17241379,0.50574713,0.028,1.0,0.50191132,0.20636018
claudedevore_a2prime_effv2s,submission_base_3way,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_base_3way.csv,240,234,614,41,0.98214004,0.93134066,0.1954023,0.49425287,0.01166667,1.0,0.50166226,0.22621531
claudedevore_a2prime_effv2s,submission_birdnet,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_birdnet.csv,240,234,614,41,0.58170497,0.2664706,0.08045977,0.2183908,0.0,0.80740136,0.00114408,0.01256171
claudedevore_a2prime_effv2s,submission_effv2s,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_effv2s.csv,240,234,614,41,0.57404484,0.81860122,0.43103448,0.65517241,0.00707941,0.42660606,0.08286411,0.04429375
claudedevore_a2prime_effv2s,submission_effv2s_base_128_h512_z,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_effv2s_base_128_h512_z.csv,240,234,614,41,0.57404484,0.81860122,0.43103448,0.65517241,0.00707941,0.42660606,0.08286411,0.04429375
claudedevore_a2prime_effv2s,submission_effv2s_hop320_128_z,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_effv2s_hop320_128_z.csv,240,234,614,41,0.54337825,0.80463617,0.43678161,0.62643678,0.00609386,0.38206816,0.07951967,0.04457578
claudedevore_a2prime_effv2s,submission_effv2s_mel256_h320_z,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_effv2s_mel256_h320_z.csv,240,234,614,41,0.56440311,0.79946821,0.11494253,0.6091954,0.01304145,0.35839,0.11037901,0.04778056
claudedevore_a2prime_effv2s,submission_protossm,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_protossm.csv,240,234,614,41,0.97960323,0.92309398,0.5,0.7816092,4e-08,0.9985064,0.1284283,0.17480691
claudedevore_a2prime_effv2s,submission_sed,/tmp/bc26_outputs_turn11/claudedevore_birdclef_2026_r0946_a2prime_effv2s_submit/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,2.194e-05,0.97485524,0.01260964,0.07037281
alexycactus_cnn_dataset_cpu,submission,/tmp/bc26_outputs_turn11/alexycactus_birdclef_2026_cnn_infer_dataset/submission.csv,192,234,439,32,0.98988271,0.99909419,0.96153846,1.0,0.0,0.9991662,0.01066666,0.09527233
alexycactus_cnn_safe_gpu,submission,/tmp/bc26_outputs_turn11/alexycactus_birdclef_2026_cnn_infer_safe/submission.csv,192,234,439,32,0.98956445,0.99910715,0.96153846,1.0,0.0,0.9988952,0.01093135,0.09686122
alexycactus_cnn_fast_gpu,submission,/tmp/bc26_outputs_turn11/alexycactus_birdclef_2026_cnn_infer_fast/submission.csv,192,234,439,32,0.98961867,0.99910666,0.96153846,1.0,0.0,0.9990237,0.01092813,0.09684262
