primary_label,common_name,class_name,support,oof_base_auc,oof_prior_auc,support_bucket,macro_risk_action,w_anchor,w_sed,w_private_probe,w_cnn_sidecar,risk_rank
22961,Pointedbelly Frog,Amphibia,72,0.1727497194163861,0.1385185185185185,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,167.14
47158son15,Insect sonotype15,Insecta,24,0.3450502152080344,0.3450502152080344,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,167.9
47158son16,Insect sonotype16,Insecta,24,0.3450502152080344,0.3450502152080344,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,168.91
47158son01,Insect sonotype01,Insecta,46,0.3513119533527696,0.3513119533527696,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,170.05
47158son14,Insect sonotype14,Insecta,24,0.3536585365853658,0.3536585365853658,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,170.89
47158son20,Insect sonotype20,Insecta,24,0.3536585365853658,0.3536585365853658,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,171.93
47158son18,Insect sonotype18,Insecta,24,0.3708751793400286,0.3708751793400286,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,172.92
47158son02,Insect sonotype02,Insecta,14,0.3803418803418803,0.3803418803418803,low_5_20,cnn_rescue_candidate,0.35,0.2,0.15,0.3,174.81
47158son05,Insect sonotype05,Insecta,6,0.3895184135977337,0.3895184135977337,low_5_20,cnn_rescue_candidate,0.35,0.2,0.15,0.3,175.71
47158son09,Insect sonotype09,Insecta,12,0.414651493598862,0.414651493598862,low_5_20,cnn_rescue_candidate,0.35,0.2,0.15,0.3,176.8
47158son12,Insect sonotype12,Insecta,10,0.4231863442389758,0.4231863442389758,low_5_20,cnn_rescue_candidate,0.35,0.2,0.15,0.3,177.76
47158son08,Insect sonotype08,Insecta,34,0.4317196531791907,0.4317196531791907,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,179.01
25092,Two-colored oval frog,Amphibia,48,0.4703680598877105,0.4255562487003535,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,180.06
nacnig1,Nacunda Nighthawk,Aves,22,0.4815186246418338,0.1045845272206303,mid_21_75,cnn_rescue_candidate,0.35,0.2,0.15,0.3,180.86
redjun,Red Junglefowl,Aves,24,0.6538553639846744,0.6853448275862069,mid_21_75,mild_rescue,0.5,0.25,0.15,0.1,182.94
47158son03,Insect sonotype03,Insecta,66,0.7344308381378949,0.7344308381378949,mid_21_75,neutral,0.6,0.25,0.15,0.0,184.11
22967,Marbled White-lipped Frog,Amphibia,310,0.7490792813417608,0.6208629871099388,high_151_plus,neutral,0.6,0.25,0.15,0.0,185.27
517063,Southern Orange-legged Leaf Frog,Amphibia,626,0.7600635770453404,0.7294294796720763,high_151_plus,neutral,0.6,0.25,0.15,0.0,186.33
trsowl,Tropical Screech Owl,Aves,52,0.777628111273792,0.6370424597364568,mid_21_75,neutral,0.6,0.25,0.15,0.0,189.1
67107,Rococo Toad,Amphibia,18,0.80125,0.3542857142857142,low_5_20,neutral,0.6,0.25,0.15,0.0,189.83
1491113,Guaraní leaf-litter frog,Amphibia,158,0.806953179594689,0.682520964360587,high_151_plus,neutral,0.6,0.25,0.15,0.0,191.24
47158son04,Insect sonotype04,Insecta,34,0.8186147186147186,0.8186147186147186,mid_21_75,neutral,0.6,0.25,0.15,0.0,192.0
24321,Mato Grosso Snouted Tree Frog,Amphibia,344,0.8234067658750616,0.8125408117675361,high_151_plus,neutral,0.6,0.25,0.15,0.0,193.28
1161364,Guyalna cuta,Insecta,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,1.01
1176823,Wrestler Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,2.02
1595929,Uruguay Harlequin Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,3.03
209233,Feral Horse,Mammalia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,4.04
22930,Basin White-lipped Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,5.05
22956,Mustached Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,6.06
22983,Pepper Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,7.07
22985,Peter's Jungle Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,8.08
23150,Central Dwarf Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,9.09
23154,Bahia Dwarf Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,10.1
23176,Cope's Swamp Froglet,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,11.11
23724,Waxy Monkey Tree Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,12.12
24285,Snouted Tree Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,13.13
24287,Brown-bordered Snouted Tree Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,14.14
244024,Giant Cicada,Insecta,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,15.15
25214,Muller's Termite Frog,Amphibia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,16.16
41970,Jaguar,Mammalia,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,17.17
