check,status,value,notes
kernel_runmode,PASS,COMPLETE,"Kaggle Run-mode version 1 completed"
metadata_private,PASS,true,"kernel-metadata is_private=true"
metadata_cpu_only,PASS,true,"enable_gpu=false and enable_tpu=false"
metadata_no_internet,PASS,true,"enable_internet=false"
unknown_license_runtime_dependencies,PASS,none,"metadata/code removed jaejohn/perch-meta and tuckerarrants SED runtime dependencies"
runtime_seconds,PASS,335.820018846,"model log save time; nbconvert ended about 346.7s"
output_archive,PASS,birdclef-2026/outputs/v105-rankrestored-perch-guarded-v1,"submission.csv and kernel log archived locally"
submission_shape,PASS,"(120,235)","120 dry-run rows plus row_id and 234 class columns"
submission_sha256,PASS,5dbecd6709426dc934b61cc1f01295611ffbde333c5174baccaf96655046ed53,"sha256 of output submission.csv"
finite_values,PASS,true,"all probability values finite"
probability_range,PASS,"[0.011144416,0.9992916]","values inside [0,1]"
duplicate_row_id,PASS,0,"no duplicate row_id"
rank_restore_log,PASS,"restore=1417; top_guard=138","log includes V105 row-rank restore cells"
real_submission,HOLD,not_submitted,"proxy quality still too weak; do not submit"
