name,formula,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
v114,0.85*v110+0.15*v113,120,234,313,22,0.97920102,0.91572402,0.23287671,0.52054795,0.01114442,0.99946620,0.52111566,0.24191993
v110,baseline,120,234,313,22,0.97911204,0.91481637,0.21917808,0.52054795,0.01114442,0.99946990,0.52113223,0.24234455
th-0.05_sl0.04_flat_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91499235,0.21917808,0.52054795,0.01114442,0.99946852,0.52113105,0.24221965
th-0.05_sl0.04_flat_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91506714,0.23287671,0.52054795,0.01114442,0.99946783,0.52113046,0.24216339
th-0.05_sl0.04_flat_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91514665,0.23287671,0.52054795,0.01114442,0.99946714,0.52112987,0.24211124
th-0.05_sl0.04_flat_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91521546,0.23287671,0.52054795,0.01114442,0.99946645,0.52112928,0.24206323
th-0.05_sl0.04_flat_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91527402,0.23287671,0.52054795,0.01114442,0.99946576,0.52112869,0.24201934
th-0.05_sl0.04_flat_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91536147,0.23287671,0.52054795,0.01114442,0.99946438,0.52112752,0.24194396
th-0.05_sl0.04_flat_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91545513,0.23287671,0.52054795,0.01114442,0.99946231,0.52112575,0.24186192
th-0.05_sl0.04_flat_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91550667,0.23287671,0.52054795,0.01114442,0.99945956,0.52112340,0.24181047
th-0.05_sl0.04_flat_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91546180,0.23287671,0.52054795,0.01114442,0.99945611,0.52112046,0.24183935
th-0.05_sl0.04_entropy_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91492723,0.21917808,0.52054795,0.01114442,0.99946893,0.52113461,0.24226646
th-0.05_sl0.04_entropy_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91497970,0.21917808,0.52054795,0.01114442,0.99946845,0.52113581,0.24223006
th-0.05_sl0.04_entropy_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91501916,0.23287671,0.52054795,0.01114442,0.99946797,0.52113700,0.24219543
th-0.05_sl0.04_entropy_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91506542,0.23287671,0.52054795,0.01114442,0.99946748,0.52113820,0.24216256
th-0.05_sl0.04_entropy_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91510914,0.23287671,0.52054795,0.01114442,0.99946700,0.52113939,0.24213146
th-0.05_sl0.04_entropy_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91518485,0.23287671,0.52054795,0.01114442,0.99946603,0.52114178,0.24207456
th-0.05_sl0.04_entropy_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91526735,0.23287671,0.52054795,0.01114442,0.99946458,0.52114536,0.24200247
th-0.05_sl0.04_entropy_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91535226,0.23287671,0.52054795,0.01114442,0.99946265,0.52115014,0.24193112
th-0.05_sl0.04_entropy_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91539587,0.23287671,0.52054795,0.01114442,0.99946023,0.52115611,0.24188179
th-0.05_sl0.04_diff_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91490134,0.21917808,0.52054795,0.01114442,0.99946969,0.52112884,0.24228618
