anchor,class_name,support,anchor_auc,best_side,best_side_auc,best_delta
v110_clean,116570,9,0.99199199,v113_lantingguo_melnorm,0.99199199,0.00000000
v110_clean,47158son01,11,0.99916597,v119_roniheka_hgnet,1.00000000,0.00083403
v110_clean,47158son03,11,1.00000000,v113_lantingguo_melnorm,1.00000000,0.00000000
v110_clean,47158son08,11,0.99416180,v113_lantingguo_melnorm,0.99416180,0.00000000
v110_clean,47158son10,7,1.00000000,v113_lantingguo_melnorm,1.00000000,0.00000000
v110_clean,47158son11,11,0.99332777,v113_lantingguo_melnorm,0.99332777,0.00000000
v110_clean,47158son13,22,0.99350649,v112_backtracking_remap,0.99953618,0.00602968
v110_clean,47158son15,11,0.99749791,v113_lantingguo_melnorm,0.96580484,-0.03169308
v110_clean,47158son16,11,0.99749791,v113_lantingguo_melnorm,0.99666389,-0.00083403
v110_clean,47158son17,40,0.98531250,v113_lantingguo_melnorm,0.98531250,0.00000000
v110_clean,47158son18,11,0.99916597,v112_backtracking_remap,0.99916597,0.00000000
v110_clean,47158son19,4,0.99137931,v113_lantingguo_melnorm,0.99137931,0.00000000
v110_clean,47158son20,11,0.99416180,v113_lantingguo_melnorm,0.99416180,0.00000000
v110_clean,47158son21,20,0.99100000,v119_roniheka_hgnet,0.99150000,0.00050000
v110_clean,47158son22,22,0.99304267,v112_backtracking_remap,0.99953618,0.00649351
v110_clean,47158son23,22,0.99350649,v112_backtracking_remap,1.00000000,0.00649351
v110_clean,47158son25,44,0.97488038,v113_lantingguo_melnorm,0.97488038,0.00000000
v110_clean,516975,13,0.76204170,v113_lantingguo_melnorm,0.76204170,0.00000000
v110_clean,chacha1,18,0.96459695,v113_lantingguo_melnorm,0.96296296,-0.00163399
v110_clean,grekis,1,0.99159664,v112_backtracking_remap,0.99159664,0.00000000
v110_clean,plcjay1,1,0.94957983,v119_roniheka_hgnet,0.98319328,0.03361345
v110_clean,thlwre1,2,0.98305085,v112_backtracking_remap,0.98305085,0.00000000
v114_clean_selfblend,116570,9,0.99199199,v113_lantingguo_melnorm,0.99199199,0.00000000
v114_clean_selfblend,47158son01,11,0.99916597,v119_roniheka_hgnet,1.00000000,0.00083403
v114_clean_selfblend,47158son03,11,1.00000000,v113_lantingguo_melnorm,1.00000000,0.00000000
v114_clean_selfblend,47158son08,11,0.99416180,v113_lantingguo_melnorm,0.99416180,0.00000000
v114_clean_selfblend,47158son10,7,1.00000000,v113_lantingguo_melnorm,1.00000000,0.00000000
v114_clean_selfblend,47158son11,11,0.99332777,v113_lantingguo_melnorm,0.99332777,0.00000000
v114_clean_selfblend,47158son13,22,0.99350649,v112_backtracking_remap,0.99953618,0.00602968
v114_clean_selfblend,47158son15,11,1.00000000,v113_lantingguo_melnorm,0.96580484,-0.03419516
v114_clean_selfblend,47158son16,11,0.99749791,v113_lantingguo_melnorm,0.99666389,-0.00083403
v114_clean_selfblend,47158son17,40,0.98531250,v113_lantingguo_melnorm,0.98531250,0.00000000
v114_clean_selfblend,47158son18,11,0.99916597,v112_backtracking_remap,0.99916597,0.00000000
v114_clean_selfblend,47158son19,4,0.99137931,v113_lantingguo_melnorm,0.99137931,0.00000000
v114_clean_selfblend,47158son20,11,0.99416180,v113_lantingguo_melnorm,0.99416180,0.00000000
v114_clean_selfblend,47158son21,20,0.99100000,v119_roniheka_hgnet,0.99150000,0.00050000
v114_clean_selfblend,47158son22,22,0.99304267,v112_backtracking_remap,0.99953618,0.00649351
v114_clean_selfblend,47158son23,22,0.99350649,v112_backtracking_remap,1.00000000,0.00649351
v114_clean_selfblend,47158son25,44,0.97488038,v113_lantingguo_melnorm,0.97488038,0.00000000
v114_clean_selfblend,516975,13,0.76204170,v113_lantingguo_melnorm,0.76204170,0.00000000
v114_clean_selfblend,chacha1,18,0.96405229,v113_lantingguo_melnorm,0.96296296,-0.00108932
v114_clean_selfblend,grekis,1,0.99159664,v112_backtracking_remap,0.99159664,0.00000000
v114_clean_selfblend,plcjay1,1,0.94957983,v119_roniheka_hgnet,0.98319328,0.03361345
v114_clean_selfblend,thlwre1,2,0.98305085,v112_backtracking_remap,0.98305085,0.00000000
