name,formula,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,classes_mixed,sources_used,selected_classes,min,max,mean,std
v114_clean_selfblend_router_m0_w0.7_rankcal,per_class_best_non_tsubasa_side;margin=0.0;weight=0.7;mode=rankcal;support_shrink=log1p,0.98060057,0.91703497,0.23287671,0.52054795,22,0.99706961,0.00218707,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946620,0.52111566,0.24131677
v114_clean_selfblend_router_m-0.02_w0.7_rankcal,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.7;mode=rankcal;support_shrink=log1p,0.98057582,0.91731738,0.23287671,0.52054795,22,0.99694199,0.00248288,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52111566,0.24126323
v114_clean_selfblend_router_m0_w0.5_rankcal,per_class_best_non_tsubasa_side;margin=0.0;weight=0.5;mode=rankcal;support_shrink=log1p,0.98054323,0.91692589,0.23287671,0.50684932,22,0.99850632,0.00156219,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946620,0.52111566,0.24134448
v110_clean_router_m-0.04_w0.7_rankcal,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.7;mode=rankcal;support_shrink=log1p,0.98053791,0.91599896,0.21917808,0.52054795,22,0.99680296,0.00270274,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52113223,0.24164591
v110_clean_router_m-0.04_w0.5_rankcal,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.5;mode=rankcal;support_shrink=log1p,0.98051847,0.91600753,0.21917808,0.50684932,22,0.99837070,0.00193053,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52113223,0.24168748
v114_clean_selfblend_router_m-0.02_w0.5_rankcal,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.5;mode=rankcal;support_shrink=log1p,0.98051847,0.91715854,0.23287671,0.50684932,22,0.99844144,0.00177349,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52111566,0.24129995
v110_clean_router_m0_w0.7_rankcal,per_class_best_non_tsubasa_side;margin=0.0;weight=0.7;mode=rankcal;support_shrink=log1p,0.98051160,0.91610614,0.21917808,0.52054795,22,0.99707964,0.00218737,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946990,0.52113223,0.24174240
v114_clean_selfblend_router_m0_w0.7_prob,per_class_best_non_tsubasa_side;margin=0.0;weight=0.7;mode=prob;support_shrink=log1p,0.98049613,0.91944008,0.24657534,0.52054795,22,0.99651400,0.00240054,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946620,0.52108897,0.24153205
v114_clean_selfblend_router_m-0.04_w0.5_rankcal,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.5;mode=rankcal;support_shrink=log1p,0.98048056,0.91667195,0.23287671,0.50684932,22,0.99839430,0.00189342,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52111566,0.24127637
v110_clean_router_m-0.02_w0.7_rankcal,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.7;mode=rankcal;support_shrink=log1p,0.98046209,0.91638131,0.21917808,0.52054795,22,0.99695214,0.00248396,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52113223,0.24168886
