name,anchor,min_support,min_delta,weight,rank_margin,top1_threshold,top1_margin,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,corr_vs_v103_diagnostic,classes_mixed,active_cells,sources_used,selected_classes,min,max
v128_v114_clean_selfblend_min5_d0_w0.9_rm0_t0.7,v114_clean_selfblend,5,0.0,0.9,0.0,0.7,0.08,0.97987635,0.92085607,0.23287671,0.52054795,22,0.99768118,0.00147650,0.78387841,6,350,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min5_d0_w0.9_rm0_t0.8,v114_clean_selfblend,5,0.0,0.9,0.0,0.8,0.08,0.97987635,0.92085607,0.23287671,0.52054795,22,0.99768118,0.00147650,0.78387841,6,350,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min5_d0_w0.9_rm0_t0.9,v114_clean_selfblend,5,0.0,0.9,0.0,0.9,0.08,0.97987635,0.92085607,0.23287671,0.52054795,22,0.99768118,0.00147650,0.78387841,6,350,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min10_d0_w0.9_rm0_t0.7,v114_clean_selfblend,10,0.0,0.9,0.0,0.7,0.08,0.97987635,0.92085607,0.23287671,0.52054795,22,0.99768118,0.00147650,0.78387841,6,350,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min10_d0_w0.9_rm0_t0.8,v114_clean_selfblend,10,0.0,0.9,0.0,0.8,0.08,0.97987635,0.92085607,0.23287671,0.52054795,22,0.99768118,0.00147650,0.78387841,6,350,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min10_d0_w0.9_rm0_t0.9,v114_clean_selfblend,10,0.0,0.9,0.0,0.9,0.08,0.97987635,0.92085607,0.23287671,0.52054795,22,0.99768118,0.00147650,0.78387841,6,350,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min5_d0_w0.9_rm0.05_t0.7,v114_clean_selfblend,5,0.0,0.9,0.05,0.7,0.08,0.97985691,0.91981454,0.23287671,0.52054795,22,0.99768927,0.00145149,0.78385620,6,299,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min5_d0_w0.9_rm0.05_t0.8,v114_clean_selfblend,5,0.0,0.9,0.05,0.8,0.08,0.97985691,0.91981454,0.23287671,0.52054795,22,0.99768927,0.00145149,0.78385620,6,299,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min5_d0_w0.9_rm0.05_t0.9,v114_clean_selfblend,5,0.0,0.9,0.05,0.9,0.08,0.97985691,0.91981454,0.23287671,0.52054795,22,0.99768927,0.00145149,0.78385620,6,299,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
v128_v114_clean_selfblend_min10_d0_w0.9_rm0.05_t0.7,v114_clean_selfblend,10,0.0,0.9,0.05,0.7,0.08,0.97985691,0.91981454,0.23287671,0.52054795,22,0.99768927,0.00145149,0.78385620,6,299,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son18;47158son21;47158son22;47158son23,0.01114442,0.99946620
