key,path,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_v87,mad_v87,corr_v91,corr_v110,corr_v127,public_score_or_status,ledger_decision,family,queue_action_note,reference_note
v103-guarded-macro-risk-rescue-v1,birdclef-2026/outputs/v103-guarded-macro-risk-rescue-v1/submission.csv,0.98906455,0.92885549,0.38356164,0.71232877,22,,,,0.78728573,0.78461338,,,original,highest local proxy; do not submit as-is because unknown-license dependencies remain; next research should reproduce the useful guard/rescue signal with clean in-notebook evidence,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v102-original-macro-risk-rescue-v1,birdclef-2026/outputs/v102-original-macro-risk-rescue-v1/submission.csv,0.98897867,0.92916937,0.38356164,0.69863014,22,,,,0.78653293,0.78385971,,,original,highest local proxy; do not submit as-is because unknown-license dependencies remain; next research should reproduce the useful guard/rescue signal with clean in-notebook evidence,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v121-class-selective-tsubasa-v1,birdclef-2026/outputs/v121-class-selective-tsubasa-v1/submission.csv,0.98275473,0.92510802,0.23287671,0.53424658,22,,,,0.99886859,0.99630686,,,original,"strong original sparse sidecar, but inherits v120 hidden-RAM risk; only useful as design evidence","v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v120-clean-tsubasa-sidecar-v1,birdclef-2026/outputs/v120-clean-tsubasa-sidecar-v1/submission.csv,0.98139925,0.91435250,0.19178082,0.47945205,22,,,,0.99466967,0.99198959,ERROR-memory,Hidden-test evaluation exceeded Kaggle RAM; retire v120 and require single-pass/memory-reduced follow-up,original,retired hidden-test memory failure; do not queue for real submit,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v127-memorysafe-nontsubasa-router-v1,birdclef-2026/outputs/v127-memorysafe-nontsubasa-router-v1/submission.csv,0.98008089,0.91595668,0.20547945,0.52054795,22,,,,0.99664631,1.00000000,PENDING,Guarded slot 4; wait for score before any final or follow-up submit decision,original,current guarded real submission is pending; lock further real submits until score/error resolves,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v109-ecoproto-ranklaunch-perch-v1,birdclef-2026/outputs/v109-ecoproto-ranklaunch-perch-v1/submission.csv,0.97963460,0.91325592,0.23287671,0.47945205,22,,,,0.99718071,0.99459908,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v123-rankcal-singlepass-tsubasa-v1,birdclef-2026/outputs/v123-rankcal-singlepass-tsubasa-v1/submission.csv,0.97921107,0.91480745,0.21917808,0.52054795,22,,,,0.99995160,0.99661231,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v114-v110-v113-selfblend-v1,birdclef-2026/outputs/v114-v110-v113-selfblend-v1/submission.csv,0.97920102,0.91572402,0.23287671,0.52054795,22,,,,0.99959390,0.99622853,,,original,clean anchor/reference branch; useful as compliance-safe baseline rather than aggressive slot candidate,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v110-ecoproto-clean-blend-v1,birdclef-2026/outputs/v110-ecoproto-clean-blend-v1/submission.csv,0.97911204,0.91481637,0.21917808,0.52054795,22,,,,1.00000000,0.99664631,,,original,clean anchor/reference branch; useful as compliance-safe baseline rather than aggressive slot candidate,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v108-ecoproto-perch-guarded-v1,birdclef-2026/outputs/v108-ecoproto-perch-guarded-v1/submission.csv,0.97881000,0.82693410,0.00000000,0.08219178,22,,,,0.98471173,0.98384482,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v113-lantingguo-melnorm-ecoproto-v1,birdclef-2026/outputs/v113-lantingguo-melnorm-ecoproto-v1/submission.csv,0.97755927,0.91558215,0.17808219,0.53424658,22,,,,0.98198781,0.97860807,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v106-rankdominant-perch-guarded-v1,birdclef-2026/outputs/v106-rankdominant-perch-guarded-v1/submission.csv,0.97753686,0.87641886,0.02739726,0.35616438,22,,,,0.99064405,0.98755720,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
