name,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,min,max,anchor,min_support,min_delta,weight,top5_guard,avg_classes_per_fold,total_selected_entries
v129_v114_clean_selfblend_min5_d0.002_w0.35_top5guard0,0.97970207,0.91617178,0.24657534,0.52054795,22,0.99937804,0.00079456,0.01114442,0.99946620,v114_clean_selfblend,5,0.002,0.35,0,3.4000,34
v129_v114_clean_selfblend_min10_d0.002_w0.35_top5guard0,0.97970207,0.91617178,0.24657534,0.52054795,22,0.99937804,0.00079456,0.01114442,0.99946620,v114_clean_selfblend,10,0.002,0.35,0,3.4000,34
v129_v114_clean_selfblend_min10_d0_w0.35_top5guard0,0.97970207,0.91561241,0.24657534,0.50684932,22,0.99896239,0.00144640,0.01114442,0.99946620,v114_clean_selfblend,10,0.0,0.35,0,12.4000,124
v129_v114_clean_selfblend_min5_d0_w0.35_top5guard0,0.97967731,0.91549862,0.24657534,0.50684932,22,0.99896141,0.00146465,0.01114442,0.99946620,v114_clean_selfblend,5,0.0,0.35,0,14.5000,145
v129_v110_clean_min5_d0.002_w0.35_top5guard0,0.97961310,0.91524687,0.23287671,0.52054795,22,0.99938018,0.00079465,0.01114442,0.99946990,v110_clean,5,0.002,0.35,0,3.4000,34
v129_v110_clean_min10_d0.002_w0.35_top5guard0,0.97961310,0.91524687,0.23287671,0.52054795,22,0.99938018,0.00079465,0.01114442,0.99946990,v110_clean,10,0.002,0.35,0,3.4000,34
v129_v110_clean_min10_d0_w0.35_top5guard0,0.97958834,0.91468727,0.23287671,0.49315068,22,0.99896599,0.00144652,0.01114442,0.99946990,v110_clean,10,0.0,0.35,0,12.4000,124
v129_v114_clean_selfblend_min5_d0.002_w0.5_top5guard0,0.97957673,0.91615728,0.24657534,0.50684932,22,0.99872993,0.00113509,0.01114442,0.99946620,v114_clean_selfblend,5,0.002,0.5,0,3.4000,34
v129_v114_clean_selfblend_min10_d0.002_w0.5_top5guard0,0.97957673,0.91615728,0.24657534,0.50684932,22,0.99872993,0.00113509,0.01114442,0.99946620,v114_clean_selfblend,10,0.002,0.5,0,3.4000,34
v129_v110_clean_min5_d0_w0.35_top5guard0,0.97956358,0.91456772,0.23287671,0.49315068,22,0.99896501,0.00146481,0.01114442,0.99946990,v110_clean,5,0.0,0.35,0,14.5000,145
v129_v114_clean_selfblend_min5_d0_w0.5_top5guard0,0.97955198,0.91515597,0.23287671,0.49315068,22,0.99787775,0.00209236,0.01114442,0.99946620,v114_clean_selfblend,5,0.0,0.5,0,14.5000,145
v129_v114_clean_selfblend_min10_d0_w0.5_top5guard0,0.97955198,0.91532327,0.24657534,0.49315068,22,0.99787985,0.00206628,0.01114442,0.99946620,v114_clean_selfblend,10,0.0,0.5,0,12.4000,124
v129_v110_clean_min5_d0.002_w0.5_top5guard0,0.97948776,0.91523513,0.23287671,0.50684932,22,0.99873431,0.00113522,0.01114442,0.99946990,v110_clean,5,0.002,0.5,0,3.4000,34
v129_v110_clean_min10_d0.002_w0.5_top5guard0,0.97948776,0.91523513,0.23287671,0.50684932,22,0.99873431,0.00113522,0.01114442,0.99946990,v110_clean,10,0.002,0.5,0,3.4000,34
v129_v110_clean_min10_d0_w0.5_top5guard0,0.97946300,0.91439985,0.23287671,0.47945205,22,0.99788722,0.00206646,0.01114442,0.99946990,v110_clean,10,0.0,0.5,0,12.4000,124
v129_v110_clean_min5_d0_w0.5_top5guard0,0.97943825,0.91422714,0.21917808,0.47945205,22,0.99788512,0.00209258,0.01114442,0.99946990,v110_clean,5,0.0,0.5,0,14.5000,145
v129_v114_clean_selfblend_min5_d0.002_w0.35_top5guard1,0.97940527,0.91709911,0.24657534,0.52054795,22,0.99966622,0.00044508,0.01114442,0.99946620,v114_clean_selfblend,5,0.002,0.35,1,3.2000,32
v129_v114_clean_selfblend_min10_d0.002_w0.35_top5guard1,0.97940527,0.91709911,0.24657534,0.52054795,22,0.99966622,0.00044508,0.01114442,0.99946620,v114_clean_selfblend,10,0.002,0.35,1,3.2000,32
v129_v114_clean_selfblend_min10_d0_w0.35_top5guard1,0.97940527,0.91702191,0.24657534,0.50684932,22,0.99946643,0.00074519,0.01114442,0.99946620,v114_clean_selfblend,10,0.0,0.35,1,6.7000,67
v129_v114_clean_selfblend_min5_d0_w0.35_top5guard1,0.97938051,0.91694976,0.24657534,0.50684932,22,0.99946577,0.00075031,0.01114442,0.99946620,v114_clean_selfblend,5,0.0,0.35,1,7.3000,73
v129_v110_clean_min5_d0.002_w0.35_top5guard1,0.97931629,0.91618398,0.23287671,0.52054795,22,0.99966738,0.00044513,0.01114442,0.99946990,v110_clean,5,0.002,0.35,1,3.2000,32
v129_v110_clean_min10_d0.002_w0.35_top5guard1,0.97931629,0.91618398,0.23287671,0.52054795,22,0.99966738,0.00044513,0.01114442,0.99946990,v110_clean,10,0.002,0.35,1,3.2000,32
v129_v110_clean_min10_d0_w0.35_top5guard1,0.97929154,0.91610171,0.23287671,0.49315068,22,0.99946828,0.00074544,0.01114442,0.99946990,v110_clean,10,0.0,0.35,1,6.7000,67
v129_v114_clean_selfblend_min5_d0.002_w0.5_top5guard1,0.97928486,0.91757535,0.24657534,0.52054795,22,0.99931873,0.00063583,0.01114442,0.99946620,v114_clean_selfblend,5,0.002,0.5,1,3.2000,32
v129_v114_clean_selfblend_min10_d0.002_w0.5_top5guard1,0.97928486,0.91757535,0.24657534,0.52054795,22,0.99931873,0.00063583,0.01114442,0.99946620,v114_clean_selfblend,10,0.002,0.5,1,3.2000,32
