candidate,anchor,fold_group,min_support,min_delta,weight,top5_guard,class_name,support_train,source,anchor_auc_train,side_auc_train,delta_train,active_rows
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,116570,8,v113_lantingguo_melnorm,1.00000000,1.00000000,0.00000000,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son01,11,v119_roniheka_hgnet,0.99906279,1.00000000,0.00093721,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son03,11,v113_lantingguo_melnorm,1.00000000,1.00000000,0.00000000,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son08,11,v113_lantingguo_melnorm,0.99343955,0.99343955,0.00000000,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son11,11,v113_lantingguo_melnorm,0.99250234,0.99250234,0.00000000,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son13,11,v112_backtracking_remap,0.99625117,1.00000000,0.00374883,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son17,29,v113_lantingguo_melnorm,0.98646879,0.98646879,0.00000000,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son18,11,v112_backtracking_remap,0.99906279,0.99906279,0.00000000,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son20,11,v113_lantingguo_melnorm,0.99343955,0.99343955,0.00000000,12
v129_v110_clean_min5_d0_w0.35_top5guard0,v110_clean,BC2026_Train_0001_S08_20250606_030007,5,0.0,0.35,0,47158son21,10,v119_roniheka_hgnet,0.99795918,1.00000000,0.00204082,12
