name,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,active_cells,min,max,anchor,validation,mode,weight,classes
v130_v114_clean_selfblend_same_full_w0.9,0.98008650,0.91663030,0.23287671,0.50684932,22,0.99721407,0.00155152,360,0.01114442,0.99946620,v114_clean_selfblend,same_row,full,0.9,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_full_w0.7,0.98004433,0.91667862,0.23287671,0.50684932,22,0.99831472,0.00120674,360,0.01114442,0.99946620,v114_clean_selfblend,same_row,full,0.7,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_full_w0.5,0.98000216,0.91659762,0.23287671,0.50684932,22,0.99914053,0.00086195,360,0.01114442,0.99946620,v114_clean_selfblend,same_row,full,0.5,47158son13;47158son22;47158son23
v130_v110_clean_same_full_w0.9,0.97999752,0.91570607,0.21917808,0.50684932,22,0.99722344,0.00155191,360,0.01114442,0.99946990,v110_clean,same_row,full,0.9,47158son13;47158son22;47158son23
v130_v110_clean_same_full_w0.7,0.97995536,0.91575175,0.21917808,0.50684932,22,0.99832039,0.00120704,360,0.01114442,0.99946990,v110_clean,same_row,full,0.7,47158son13;47158son22;47158son23
v130_v110_clean_same_full_w0.5,0.97991319,0.91567363,0.21917808,0.50684932,22,0.99914342,0.00086217,360,0.01114442,0.99946990,v110_clean,same_row,full,0.5,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_full_w0.35,0.97987567,0.91638119,0.23287671,0.50684932,22,0.99948976,0.00068091,360,0.01114442,0.99946620,v114_clean_selfblend,blocked,full,0.35,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_full_w0.5,0.97987567,0.91644873,0.23287671,0.50684932,22,0.99895806,0.00097273,360,0.01114442,0.99946620,v114_clean_selfblend,blocked,full,0.5,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_full_w0.35,0.97981242,0.91643366,0.23287671,0.50684932,22,0.99957911,0.00060337,360,0.01114442,0.99946620,v114_clean_selfblend,same_row,full,0.35,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_full_w0.7,0.97981242,0.91636623,0.23287671,0.50684932,22,0.99795702,0.00136182,360,0.01114442,0.99946620,v114_clean_selfblend,blocked,full,0.7,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_positive_w0.7,0.97979134,0.91861043,0.23287671,0.52054795,22,0.99911288,0.00066056,176,0.01114442,0.99946620,v114_clean_selfblend,blocked,positive,0.7,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_positive_w0.9,0.97979134,0.91924338,0.23287671,0.52054795,22,0.99853390,0.00084929,176,0.01114442,0.99946620,v114_clean_selfblend,blocked,positive,0.9,47158son13;47158son22;47158son23
