name,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,active_cells,anchor,validation,weight,top1_threshold,top1_margin,top5_mode
v134_v114_clean_selfblend_w0.9_t0.7_m0.08_top50,0.97979134,0.91924338,0.23287671,0.52054795,22,0.99853390,0.00084929,176,v114_clean_selfblend,blocked,0.9,0.7,0.08,0
v134_v114_clean_selfblend_w0.9_t0.7_m0.12_top50,0.97979134,0.91924338,0.23287671,0.52054795,22,0.99853390,0.00084929,176,v114_clean_selfblend,blocked,0.9,0.7,0.12,0
v134_v114_clean_selfblend_w0.9_t0.8_m0.08_top50,0.97979134,0.91924338,0.23287671,0.52054795,22,0.99853390,0.00084929,176,v114_clean_selfblend,blocked,0.9,0.8,0.08,0
v134_v114_clean_selfblend_w0.9_t0.8_m0.12_top50,0.97979134,0.91924338,0.23287671,0.52054795,22,0.99853390,0.00084929,176,v114_clean_selfblend,blocked,0.9,0.8,0.12,0
v134_v114_clean_selfblend_w0.9_t0.9_m0.08_top50,0.97979134,0.91924338,0.23287671,0.52054795,22,0.99853390,0.00084929,176,v114_clean_selfblend,blocked,0.9,0.9,0.08,0
v134_v114_clean_selfblend_w0.9_t0.9_m0.12_top50,0.97979134,0.91924338,0.23287671,0.52054795,22,0.99853390,0.00084929,176,v114_clean_selfblend,blocked,0.9,0.9,0.12,0
v134_v114_clean_selfblend_w0.7_t0.7_m0.08_top50,0.97979134,0.91861043,0.23287671,0.52054795,22,0.99911288,0.00066056,176,v114_clean_selfblend,blocked,0.7,0.7,0.08,0
v134_v114_clean_selfblend_w0.7_t0.7_m0.12_top50,0.97979134,0.91861043,0.23287671,0.52054795,22,0.99911288,0.00066056,176,v114_clean_selfblend,blocked,0.7,0.7,0.12,0
v134_v114_clean_selfblend_w0.7_t0.8_m0.08_top50,0.97979134,0.91861043,0.23287671,0.52054795,22,0.99911288,0.00066056,176,v114_clean_selfblend,blocked,0.7,0.8,0.08,0
v134_v114_clean_selfblend_w0.7_t0.8_m0.12_top50,0.97979134,0.91861043,0.23287671,0.52054795,22,0.99911288,0.00066056,176,v114_clean_selfblend,blocked,0.7,0.8,0.12,0
v134_v114_clean_selfblend_w0.7_t0.9_m0.08_top50,0.97979134,0.91861043,0.23287671,0.52054795,22,0.99911288,0.00066056,176,v114_clean_selfblend,blocked,0.7,0.9,0.08,0
v134_v114_clean_selfblend_w0.7_t0.9_m0.12_top50,0.97979134,0.91861043,0.23287671,0.52054795,22,0.99911288,0.00066056,176,v114_clean_selfblend,blocked,0.7,0.9,0.12,0
v134_v114_clean_selfblend_w0.7_t0.7_m0.08_top51,0.97977025,0.91797139,0.23287671,0.52054795,22,0.99910489,0.00067341,185,v114_clean_selfblend,blocked,0.7,0.7,0.08,1
v134_v114_clean_selfblend_w0.7_t0.7_m0.12_top51,0.97977025,0.91797139,0.23287671,0.52054795,22,0.99910489,0.00067341,185,v114_clean_selfblend,blocked,0.7,0.7,0.12,1
v134_v114_clean_selfblend_w0.7_t0.8_m0.08_top51,0.97977025,0.91797139,0.23287671,0.52054795,22,0.99910489,0.00067341,185,v114_clean_selfblend,blocked,0.7,0.8,0.08,1
v134_v114_clean_selfblend_w0.7_t0.8_m0.12_top51,0.97977025,0.91797139,0.23287671,0.52054795,22,0.99910489,0.00067341,185,v114_clean_selfblend,blocked,0.7,0.8,0.12,1
v134_v114_clean_selfblend_w0.7_t0.9_m0.08_top51,0.97977025,0.91797139,0.23287671,0.52054795,22,0.99910489,0.00067341,185,v114_clean_selfblend,blocked,0.7,0.9,0.08,1
v134_v114_clean_selfblend_w0.7_t0.9_m0.12_top51,0.97977025,0.91797139,0.23287671,0.52054795,22,0.99910489,0.00067341,185,v114_clean_selfblend,blocked,0.7,0.9,0.12,1
v134_v114_clean_selfblend_w0.9_t0.7_m0.08_top51,0.97972809,0.91834384,0.23287671,0.52054795,22,0.99852062,0.00086581,185,v114_clean_selfblend,blocked,0.9,0.7,0.08,1
v134_v114_clean_selfblend_w0.9_t0.7_m0.12_top51,0.97972809,0.91834384,0.23287671,0.52054795,22,0.99852062,0.00086581,185,v114_clean_selfblend,blocked,0.9,0.7,0.12,1
v134_v114_clean_selfblend_w0.9_t0.8_m0.08_top51,0.97972809,0.91834384,0.23287671,0.52054795,22,0.99852062,0.00086581,185,v114_clean_selfblend,blocked,0.9,0.8,0.08,1
v134_v114_clean_selfblend_w0.9_t0.8_m0.12_top51,0.97972809,0.91834384,0.23287671,0.52054795,22,0.99852062,0.00086581,185,v114_clean_selfblend,blocked,0.9,0.8,0.12,1
v134_v114_clean_selfblend_w0.9_t0.9_m0.08_top51,0.97972809,0.91834384,0.23287671,0.52054795,22,0.99852062,0.00086581,185,v114_clean_selfblend,blocked,0.9,0.9,0.08,1
v134_v114_clean_selfblend_w0.9_t0.9_m0.12_top51,0.97972809,0.91834384,0.23287671,0.52054795,22,0.99852062,0.00086581,185,v114_clean_selfblend,blocked,0.9,0.9,0.12,1
v134_v110_clean_w0.9_t0.7_m0.08_top50,0.97970236,0.91836162,0.21917808,0.52054795,22,0.99853897,0.00084945,176,v110_clean,blocked,0.9,0.7,0.08,0
v134_v110_clean_w0.9_t0.7_m0.12_top50,0.97970236,0.91836162,0.21917808,0.52054795,22,0.99853897,0.00084945,176,v110_clean,blocked,0.9,0.7,0.12,0
v134_v110_clean_w0.9_t0.8_m0.08_top50,0.97970236,0.91836162,0.21917808,0.52054795,22,0.99853897,0.00084945,176,v110_clean,blocked,0.9,0.8,0.08,0
v134_v110_clean_w0.9_t0.8_m0.12_top50,0.97970236,0.91836162,0.21917808,0.52054795,22,0.99853897,0.00084945,176,v110_clean,blocked,0.9,0.8,0.12,0
v134_v110_clean_w0.9_t0.9_m0.08_top50,0.97970236,0.91836162,0.21917808,0.52054795,22,0.99853897,0.00084945,176,v110_clean,blocked,0.9,0.9,0.08,0
v134_v110_clean_w0.9_t0.9_m0.12_top50,0.97970236,0.91836162,0.21917808,0.52054795,22,0.99853897,0.00084945,176,v110_clean,blocked,0.9,0.9,0.12,0
v134_v110_clean_w0.7_t0.7_m0.08_top50,0.97970236,0.91772625,0.21917808,0.52054795,22,0.99911595,0.00066068,176,v110_clean,blocked,0.7,0.7,0.08,0
v134_v110_clean_w0.7_t0.7_m0.12_top50,0.97970236,0.91772625,0.21917808,0.52054795,22,0.99911595,0.00066068,176,v110_clean,blocked,0.7,0.7,0.12,0
v134_v110_clean_w0.7_t0.8_m0.08_top50,0.97970236,0.91772625,0.21917808,0.52054795,22,0.99911595,0.00066068,176,v110_clean,blocked,0.7,0.8,0.08,0
v134_v110_clean_w0.7_t0.8_m0.12_top50,0.97970236,0.91772625,0.21917808,0.52054795,22,0.99911595,0.00066068,176,v110_clean,blocked,0.7,0.8,0.12,0
v134_v110_clean_w0.7_t0.9_m0.08_top50,0.97970236,0.91772625,0.21917808,0.52054795,22,0.99911595,0.00066068,176,v110_clean,blocked,0.7,0.9,0.08,0
v134_v110_clean_w0.7_t0.9_m0.12_top50,0.97970236,0.91772625,0.21917808,0.52054795,22,0.99911595,0.00066068,176,v110_clean,blocked,0.7,0.9,0.12,0
v134_v114_clean_selfblend_w0.5_t0.7_m0.08_top50,0.97968592,0.91792134,0.23287671,0.52054795,22,0.99954737,0.00047183,176,v114_clean_selfblend,blocked,0.5,0.7,0.08,0
v134_v114_clean_selfblend_w0.5_t0.7_m0.12_top50,0.97968592,0.91792134,0.23287671,0.52054795,22,0.99954737,0.00047183,176,v114_clean_selfblend,blocked,0.5,0.7,0.12,0
v134_v114_clean_selfblend_w0.5_t0.8_m0.08_top50,0.97968592,0.91792134,0.23287671,0.52054795,22,0.99954737,0.00047183,176,v114_clean_selfblend,blocked,0.5,0.8,0.08,0
v134_v114_clean_selfblend_w0.5_t0.8_m0.12_top50,0.97968592,0.91792134,0.23287671,0.52054795,22,0.99954737,0.00047183,176,v114_clean_selfblend,blocked,0.5,0.8,0.12,0
v134_v114_clean_selfblend_w0.5_t0.9_m0.08_top50,0.97968592,0.91792134,0.23287671,0.52054795,22,0.99954737,0.00047183,176,v114_clean_selfblend,blocked,0.5,0.9,0.08,0
v134_v114_clean_selfblend_w0.5_t0.9_m0.12_top50,0.97968592,0.91792134,0.23287671,0.52054795,22,0.99954737,0.00047183,176,v114_clean_selfblend,blocked,0.5,0.9,0.12,0
v134_v114_clean_selfblend_w0.5_t0.7_m0.08_top51,0.97968592,0.91749734,0.23287671,0.52054795,22,0.99954332,0.00048101,185,v114_clean_selfblend,blocked,0.5,0.7,0.08,1
v134_v114_clean_selfblend_w0.5_t0.7_m0.12_top51,0.97968592,0.91749734,0.23287671,0.52054795,22,0.99954332,0.00048101,185,v114_clean_selfblend,blocked,0.5,0.7,0.12,1
v134_v114_clean_selfblend_w0.5_t0.8_m0.08_top51,0.97968592,0.91749734,0.23287671,0.52054795,22,0.99954332,0.00048101,185,v114_clean_selfblend,blocked,0.5,0.8,0.08,1
v134_v114_clean_selfblend_w0.5_t0.8_m0.12_top51,0.97968592,0.91749734,0.23287671,0.52054795,22,0.99954332,0.00048101,185,v114_clean_selfblend,blocked,0.5,0.8,0.12,1
v134_v114_clean_selfblend_w0.5_t0.9_m0.08_top51,0.97968592,0.91749734,0.23287671,0.52054795,22,0.99954332,0.00048101,185,v114_clean_selfblend,blocked,0.5,0.9,0.08,1
v134_v114_clean_selfblend_w0.5_t0.9_m0.12_top51,0.97968592,0.91749734,0.23287671,0.52054795,22,0.99954332,0.00048101,185,v114_clean_selfblend,blocked,0.5,0.9,0.12,1
v134_v110_clean_w0.7_t0.7_m0.08_top51,0.97968128,0.91707604,0.21917808,0.52054795,22,0.99910799,0.00067354,185,v110_clean,blocked,0.7,0.7,0.08,1
v134_v110_clean_w0.7_t0.7_m0.12_top51,0.97968128,0.91707604,0.21917808,0.52054795,22,0.99910799,0.00067354,185,v110_clean,blocked,0.7,0.7,0.12,1
v134_v110_clean_w0.7_t0.8_m0.08_top51,0.97968128,0.91707604,0.21917808,0.52054795,22,0.99910799,0.00067354,185,v110_clean,blocked,0.7,0.8,0.08,1
v134_v110_clean_w0.7_t0.8_m0.12_top51,0.97968128,0.91707604,0.21917808,0.52054795,22,0.99910799,0.00067354,185,v110_clean,blocked,0.7,0.8,0.12,1
v134_v110_clean_w0.7_t0.9_m0.08_top51,0.97968128,0.91707604,0.21917808,0.52054795,22,0.99910799,0.00067354,185,v110_clean,blocked,0.7,0.9,0.08,1
v134_v110_clean_w0.7_t0.9_m0.12_top51,0.97968128,0.91707604,0.21917808,0.52054795,22,0.99910799,0.00067354,185,v110_clean,blocked,0.7,0.9,0.12,1
v134_v110_clean_w0.9_t0.7_m0.08_top51,0.97963911,0.91744941,0.21917808,0.52054795,22,0.99852574,0.00086597,185,v110_clean,blocked,0.9,0.7,0.08,1
v134_v110_clean_w0.9_t0.7_m0.12_top51,0.97963911,0.91744941,0.21917808,0.52054795,22,0.99852574,0.00086597,185,v110_clean,blocked,0.9,0.7,0.12,1
v134_v110_clean_w0.9_t0.8_m0.08_top51,0.97963911,0.91744941,0.21917808,0.52054795,22,0.99852574,0.00086597,185,v110_clean,blocked,0.9,0.8,0.08,1
v134_v110_clean_w0.9_t0.8_m0.12_top51,0.97963911,0.91744941,0.21917808,0.52054795,22,0.99852574,0.00086597,185,v110_clean,blocked,0.9,0.8,0.12,1
v134_v110_clean_w0.9_t0.9_m0.08_top51,0.97963911,0.91744941,0.21917808,0.52054795,22,0.99852574,0.00086597,185,v110_clean,blocked,0.9,0.9,0.08,1
v134_v110_clean_w0.9_t0.9_m0.12_top51,0.97963911,0.91744941,0.21917808,0.52054795,22,0.99852574,0.00086597,185,v110_clean,blocked,0.9,0.9,0.12,1
