candidate,alpha,target_mode,blend_weight,min_delta,min_prior_rank,active_cells,macro_auc,macro_gain,micro_auc,top1_hit,top5_hit,fold_macro_mean,fold_macro_std,fold_macro_min,fold_std_delta,weak_followup_mean_auc,weak_followup_gain,corr_vs_anchor,corr_vs_v377_oracle,decision
alpha0.01_delta_bw0.7_d0_pr0,0.01000000,delta,0.70000000,0.00000000,0.00000000,318.00000000,0.97832804,0.00096449,0.91491451,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95287456,0.00303125,0.99996142,0.99980820,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.7_d0_pr0.25,0.01000000,delta,0.70000000,0.00000000,0.25000000,283.00000000,0.97832804,0.00096449,0.91491497,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95287456,0.00303125,0.99996341,0.99980720,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.7_d0_pr0.5,0.01000000,delta,0.70000000,0.00000000,0.50000000,204.00000000,0.97832804,0.00096449,0.91491716,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95287456,0.00303125,0.99996766,0.99979604,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.7_d0.005_pr0,0.01000000,delta,0.70000000,0.00500000,0.00000000,249.00000000,0.97830329,0.00093973,0.91479359,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95279675,0.00295344,0.99996149,0.99980797,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.7_d0.005_pr0.25,0.01000000,delta,0.70000000,0.00500000,0.25000000,220.00000000,0.97830329,0.00093973,0.91479405,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95279675,0.00295344,0.99996348,0.99980699,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.7_d0.005_pr0.5,0.01000000,delta,0.70000000,0.00500000,0.50000000,156.00000000,0.97830329,0.00093973,0.91479589,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95279675,0.00295344,0.99996772,0.99979586,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.7_d0_pr0,0.10000000,delta,0.70000000,0.00000000,0.00000000,315.00000000,0.97829537,0.00093181,0.91482534,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95277186,0.00292855,0.99996406,0.99980567,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.7_d0_pr0.25,0.10000000,delta,0.70000000,0.00000000,0.25000000,280.00000000,0.97829537,0.00093181,0.91482592,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95277186,0.00292855,0.99996594,0.99980452,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.7_d0_pr0.5,0.10000000,delta,0.70000000,0.00000000,0.50000000,200.00000000,0.97829537,0.00093181,0.91482776,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95277186,0.00292855,0.99996989,0.99979358,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.7_d0.005_pr0,0.10000000,delta,0.70000000,0.00500000,0.00000000,245.00000000,0.97827061,0.00090705,0.91470073,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99996413,0.99980528,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.7_d0.005_pr0.25,0.10000000,delta,0.70000000,0.00500000,0.25000000,216.00000000,0.97827061,0.00090705,0.91470131,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99996601,0.99980416,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.7_d0.005_pr0.5,0.10000000,delta,0.70000000,0.00500000,0.50000000,155.00000000,0.97827061,0.00090705,0.91470292,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99996994,0.99979325,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0_pr0,1.00000000,delta,0.70000000,0.00000000,0.00000000,334.00000000,0.97827061,0.00090705,0.91446704,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99997374,0.99979562,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0_pr0.25,1.00000000,delta,0.70000000,0.00000000,0.25000000,287.00000000,0.97827061,0.00090705,0.91446739,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99997523,0.99979376,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0_pr0.5,1.00000000,delta,0.70000000,0.00000000,0.50000000,207.00000000,0.97827061,0.00090705,0.91446934,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99997845,0.99978336,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0.005_pr0,1.00000000,delta,0.70000000,0.00500000,0.00000000,251.00000000,0.97827061,0.00090705,0.91436303,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99997380,0.99979498,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0.005_pr0.25,1.00000000,delta,0.70000000,0.00500000,0.25000000,219.00000000,0.97827061,0.00090705,0.91436337,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99997528,0.99979321,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.7_d0.005_pr0.5,1.00000000,delta,0.70000000,0.00500000,0.50000000,158.00000000,0.97827061,0.00090705,0.91436533,0.32876712,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95269405,0.00285074,0.99997849,0.99978287,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.005_pr0,0.10000000,delta,0.50000000,0.00500000,0.00000000,245.00000000,0.97823793,0.00087438,0.91417571,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95259135,0.00274804,0.99998170,0.99978818,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.005_pr0.25,0.10000000,delta,0.50000000,0.00500000,0.25000000,216.00000000,0.97823793,0.00087438,0.91417605,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95259135,0.00274804,0.99998266,0.99978699,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.005_pr0.5,0.10000000,delta,0.50000000,0.00500000,0.50000000,155.00000000,0.97823793,0.00087438,0.91417744,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95259135,0.00274804,0.99998466,0.99977840,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.01_pr0,0.10000000,delta,0.50000000,0.01000000,0.00000000,196.00000000,0.97821317,0.00084962,0.91411973,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95251354,0.00267023,0.99998190,0.99978718,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.01_pr0.25,0.10000000,delta,0.50000000,0.01000000,0.25000000,173.00000000,0.97821317,0.00084962,0.91412008,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95251354,0.00267023,0.99998284,0.99978604,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.01_pr0.5,0.10000000,delta,0.50000000,0.01000000,0.50000000,129.00000000,0.97821317,0.00084962,0.91412111,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95251354,0.00267023,0.99998477,0.99977805,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.02_pr0,0.10000000,delta,0.50000000,0.02000000,0.00000000,139.00000000,0.97821317,0.00084962,0.91394570,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95251354,0.00267023,0.99998282,0.99978310,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.02_pr0.25,0.10000000,delta,0.50000000,0.02000000,0.25000000,126.00000000,0.97821317,0.00084962,0.91394593,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95251354,0.00267023,0.99998360,0.99978335,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0.02_pr0.5,0.10000000,delta,0.50000000,0.02000000,0.50000000,102.00000000,0.97821317,0.00084962,0.91394605,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95251354,0.00267023,0.99998520,0.99977592,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0_pr0,0.10000000,delta,0.50000000,0.00000000,0.00000000,315.00000000,0.97820525,0.00084170,0.91426396,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95248865,0.00264533,0.99998166,0.99978847,PROMOTE-deployable-distill-candidate
alpha0.1_delta_bw0.5_d0_pr0.25,0.10000000,delta,0.50000000,0.00000000,0.25000000,280.00000000,0.97820525,0.00084170,0.91426431,0.30136986,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95248865,0.00264533,0.99998263,0.99978726,PROMOTE-deployable-distill-candidate
