candidate,blend,min_delta,min_prior_rank,delta_scale,active_cells,macro_auc,macro_gain,micro_auc,top1_hit,top5_hit,fold_std,fold_std_delta,fold_min,weak_followup_auc,weak_followup_gain,corr_vs_anchor
blend1_delta0_pr0_scale1.25,1.0,0.0,0.0,1.25,323,0.980281813652357,0.0029182569766682542,0.9158379329774201,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.959014980548594,0.009171664783814482,0.9998365047552008
blend1_delta0.0025_pr0_scale1.25,1.0,0.0025,0.0,1.25,285,0.980281813652357,0.0029182569766682542,0.9157952454881567,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.959014980548594,0.009171664783814482,0.9998365251292077
blend1_delta0_pr0.25_scale1.25,1.0,0.0,0.25,1.25,276,0.980281813652357,0.0029182569766682542,0.9158385082805099,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.959014980548594,0.009171664783814482,0.9998405042085161
blend1_delta0.0025_pr0.25_scale1.25,1.0,0.0025,0.25,1.25,243,0.980281813652357,0.0029182569766682542,0.9157958207912466,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.959014980548594,0.009171664783814482,0.9998405229760843
blend1_delta0_pr0.5_scale1.25,1.0,0.0,0.5,1.25,197,0.980281813652357,0.0029182569766682542,0.9158401191291614,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.959014980548594,0.009171664783814482,0.9998574716089959
blend1_delta0.0025_pr0.5_scale1.25,1.0,0.0025,0.5,1.25,174,0.980281813652357,0.0029182569766682542,0.9157970864580441,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.959014980548594,0.009171664783814482,0.9998574860357868
blend1_delta0.005_pr0_scale1.25,1.0,0.005,0.0,1.25,253,0.9802243786718875,0.002860821996198748,0.9157201684349374,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.9588344706099752,0.008991154845195637,0.9998366437954143
blend1_delta0.005_pr0.25_scale1.25,1.0,0.005,0.25,1.25,215,0.9802243786718875,0.002860821996198748,0.9157207437380273,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.9588344706099752,0.008991154845195637,0.9998406272232573
blend1_delta0.01_pr0_scale1.25,1.0,0.01,0.0,1.25,198,0.9802243786718875,0.002860821996198748,0.9154937291387908,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.9588344706099752,0.008991154845195637,0.9998374969320114
blend1_delta0.01_pr0.25_scale1.25,1.0,0.01,0.25,1.25,172,0.9802243786718875,0.002860821996198748,0.9154941893812627,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.9588344706099752,0.008991154845195637,0.9998412822965518
blend1_delta0.005_pr0.5_scale1.25,1.0,0.005,0.5,1.25,156,0.9802243786718875,0.002860821996198748,0.915721319041117,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.9588344706099752,0.008991154845195637,0.9998575516202988
blend1_delta0.01_pr0.5_scale1.25,1.0,0.01,0.5,1.25,129,0.9802243786718875,0.002860821996198748,0.9154947646843525,0.273972602739726,0.5068493150684932,0.15441704015998192,-0.0008302581915264617,0.4743265993265993,0.9588344706099752,0.008991154845195637,0.9998579977188725
blend1_delta0_pr0.7_scale1.25,1.0,0.0,0.7,1.25,113,0.9801837808440439,0.0028202241683551454,0.915039987591863,0.273972602739726,0.5068493150684932,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.9587068774367526,0.008863561671973108,0.9999444574173398
blend1_delta0.0025_pr0.7_scale1.25,1.0,0.0025,0.7,1.25,98,0.9801837808440439,0.0028202241683551454,0.9150008669817563,0.273972602739726,0.5068493150684932,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.9587068774367526,0.008863561671973108,0.9999444686761522
blend1_delta0.005_pr0.7_scale1.25,1.0,0.005,0.7,1.25,87,0.9800936682608032,0.002730111585114492,0.9149279185499692,0.273972602739726,0.5068493150684932,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.9584236664608533,0.008580350696073769,0.9999445100741634
blend1_delta0.01_pr0.7_scale1.25,1.0,0.01,0.7,1.25,70,0.9800936682608032,0.002730111585114492,0.9147857036261698,0.273972602739726,0.5068493150684932,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.9584236664608533,0.008580350696073769,0.9999447719325225
blend0.85_delta0_pr0_scale1.25,0.85,0.0,0.0,1.25,323,0.9799450872946025,0.002581530618913752,0.9153898869310814,0.273972602739726,0.5068493150684932,0.1552277876632056,-1.9510688302776247e-05,0.4743265993265993,0.9579566977099373,0.00811338194515776,0.9998818942742955
blend0.85_delta0.0025_pr0_scale1.25,0.85,0.0025,0.0,1.25,285,0.9799450872946025,0.002581530618913752,0.9153531825939519,0.273972602739726,0.5068493150684932,0.1552277876632056,-1.9510688302776247e-05,0.4743265993265993,0.9579566977099373,0.00811338194515776,0.9998819091892008
blend0.85_delta0_pr0.25_scale1.25,0.85,0.0,0.25,1.25,276,0.9799450872946025,0.002581530618913752,0.915390692355407,0.273972602739726,0.5068493150684932,0.1552277876632056,-1.9510688302776247e-05,0.4743265993265993,0.9579566977099373,0.00811338194515776,0.9998847809222117
