group,rows,anchor_macro_auc,candidate_macro_auc,macro_delta,anchor_top5,candidate_top5,top5_delta
BC2026_Train_0001_S08_20250606_030007,12,0.5905844155844155,0.5905844155844155,0.0,0.8181818181818182,0.8181818181818182,0.0
BC2026_Train_0002_S08_20250607_030007,12,0.6655844155844156,0.6655844155844156,0.0,0.9090909090909091,0.9090909090909091,0.0
BC2026_Train_0003_S08_20250607_070007,12,0.4743265993265993,0.4743265993265993,0.0,0.8181818181818182,0.8181818181818182,0.0
BC2026_Train_0004_S08_20250607_070007,12,0.9562770562770563,0.9562770562770563,0.0,0.8181818181818182,0.8181818181818182,0.0
BC2026_Train_0005_S08_20250607_070007,12,0.7424242424242425,0.7424242424242425,0.0,0.0,0.0,0.0
BC2026_Train_0009_S09_20250828_000000,12,0.95,0.95,0.0,0.0,0.0,0.0
BC2026_Train_0010_S09_20250828_000000,12,0.9,0.9,0.0,0.0,0.0,0.0
BC2026_Train_0007_S09_20250829_000000,12,0.9072727272727272,0.9172727272727272,0.010000000000000009,0.0,0.0,0.0
BC2026_Train_0006_S09_20250828_000000,12,0.75,0.8,0.050000000000000044,0.0,0.0,0.0
BC2026_Train_0008_S09_20250831_000000,12,0.6857142857142857,0.7428571428571429,0.05714285714285716,0.0,0.0,0.0
