check,status,evidence,blocker
v391_runmode_ready,PASS,decision=READY-v391-runmode-dryrun-runtime-proof runtime_seconds=325,False
v391_runmode_not_failed,PASS,decision=READY-v391-runmode-dryrun-runtime-proof,False
v391_static_ready,PASS,decision=READY-v391-v386-safe-static-materializer-audit-NO-PUSH-NO-SUBMIT,False
v391_static_no_blockers,PASS,block_count=0,False
macro_gate,PASS,macro_gain=0.0028202241683551454,False
weak_gate,PASS,weak_followup_gain=0.008863561671973108,False
top5_no_regression,PASS,top5=0.5068493150684932->0.5068493150684932,False
fold_std_not_worse,PASS,fold_std_delta=-0.0018808458385290716,False
class_risk_pass,PASS,decision=READY-v388-v387-class-risk-pass-NO-PUSH-NO-SUBMIT block_count=0,False
no_live_pending,BLOCK,pending=1 today_count=3,True
submission_quota_visible,PASS,today_count=3,False
no_duplicate_v391_submission,PASS,duplicate_v391=False,False
explicit_competition_submit_not_made,PASS,this audit has no submit call,False
