name,source,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
submission_a2_nfnet_w03,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_a2_nfnet_w03.csv,240,234,614,41,0.98073675,0.93232850,0.21839080,0.51149425,0.01570833,1.00000000,0.50166377,0.22118318
submission_a2_nfnet_w05,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_a2_nfnet_w05.csv,240,234,614,41,0.97972491,0.93286546,0.21839080,0.51149425,0.01562500,1.00000000,0.50167215,0.21782677
submission_a2_nfnet_w08,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_a2_nfnet_w08.csv,240,234,614,41,0.97719511,0.93311099,0.20114943,0.54022989,0.01550000,1.00000000,0.50170369,0.21320033
submission_base_3way,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_base_3way.csv,240,234,614,41,0.98214004,0.93134066,0.19540230,0.49425287,0.01166667,1.00000000,0.50166226,0.22621531
submission_birdnet,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_birdnet.csv,240,234,614,41,0.58170497,0.26647060,0.08045977,0.21839080,0.00000000,0.80740136,0.00114408,0.01256171
submission_nfnet,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_nfnet.csv,240,234,614,41,0.73311292,0.66131207,0.16666667,0.27586207,0.00000024,0.99713840,0.01261433,0.03929744
submission_nfnet_cfg224_tta0,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_nfnet_cfg224_tta0.csv,240,234,614,41,0.73311292,0.66131207,0.16666667,0.27586207,0.00000024,0.99713840,0.01261433,0.03929744
submission_nfnet_cfg224_tta3,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_nfnet_cfg224_tta3.csv,240,234,614,41,0.75830603,0.66322340,0.11494253,0.28160920,0.00000117,0.92933420,0.01234479,0.03506224
submission_nfnet_cfg256_tta3,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_nfnet_cfg256_tta3.csv,240,234,614,41,0.68173289,0.56395295,0.07471264,0.24712644,0.00000547,0.89025040,0.02052593,0.04418452
submission_protossm,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_protossm.csv,240,234,614,41,0.97960323,0.92309398,0.50000000,0.78160920,0.00000004,0.99850640,0.12842830,0.17480691
submission_sed,/tmp/bc26_outputs_turn8/lucataco_bc26_claude_a2prime_nfnet_fix/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
rank_proto_sed_nfnet_w0.01,synthetic_rank_blend,240,234,614,41,0.97845930,0.95900402,0.63218391,0.79885057,0.00029954,1.00000000,0.50308362,0.26793987
rank_proto_sed_nfnet_w0.03,synthetic_rank_blend,240,234,614,41,0.97787930,0.95730517,0.53448276,0.79310345,0.00089026,1.00000000,0.50429466,0.26675824
rank_proto_sed_nfnet_w0.05,synthetic_rank_blend,240,234,614,41,0.97672481,0.95530284,0.49425287,0.78160920,0.00147012,1.00000000,0.50507991,0.26546834
rank_proto_sed_nfnet_w0.08,synthetic_rank_blend,240,234,614,41,0.97463086,0.95192251,0.42528736,0.69540230,0.00232019,1.00000000,0.50578217,0.26349182
rank_proto_sed_nfnet_w0.10,synthetic_rank_blend,240,234,614,41,0.97296327,0.94952102,0.39655172,0.67241379,0.00287415,1.00000000,0.50607400,0.26221512
rank_proto_sed_nfnet_w0.15,synthetic_rank_blend,240,234,614,41,0.97119680,0.94296873,0.36206897,0.46551724,0.00421644,1.00000000,0.50635616,0.25921933
