candidate,name,source,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
yaroslavkholmirzayev_v6_0949_replay,submission_protossm,/tmp/bc26_outputs_turn10/yaroslavkholmirzayev_v6_0949_replay/submission_protossm.csv,240,234,614,41,0.98278611,0.95780924,0.66091954,0.8045977,0.0,0.9982744,0.06642065,0.14051908
yaroslavkholmirzayev_v6_0949_replay,submission_sed,/tmp/bc26_outputs_turn10/yaroslavkholmirzayev_v6_0949_replay/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
itshyao_birdclef_2026_s118_gated_g116_delta_launcher,submission_g116_hgnet_b1_all5_s118,/tmp/bc26_outputs_turn10/itshyao_birdclef_2026_s118_gated_g116_delta_launcher/submission_g116_hgnet_b1_all5_s118.csv,12,234,73,8,0.33311688,0.99825699,1.0,1.0,0.00006198,0.78780556,0.02398651,0.11703221
itshyao_birdclef_2026_s118_gated_g116_delta_launcher,submission_protossm,/tmp/bc26_outputs_turn10/itshyao_birdclef_2026_s118_gated_g116_delta_launcher/submission_protossm.csv,240,234,614,41,0.98062194,0.93313195,0.63218391,0.79310345,0.00000001,0.9981269,0.10312306,0.16460622
itshyao_birdclef_2026_s118_gated_g116_delta_launcher,submission_sed,/tmp/bc26_outputs_turn10/itshyao_birdclef_2026_s118_gated_g116_delta_launcher/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
itshyao_birdclef_2026_s120_gated_birdnet_safe_launcher,submission_protossm,/tmp/bc26_outputs_turn10/itshyao_birdclef_2026_s120_gated_birdnet_safe_launcher/submission_protossm.csv,240,234,614,41,0.98062194,0.93313195,0.63218391,0.79310345,0.00000001,0.9981269,0.10312306,0.16460622
itshyao_birdclef_2026_s120_gated_birdnet_safe_launcher,submission_sed,/tmp/bc26_outputs_turn10/itshyao_birdclef_2026_s120_gated_birdnet_safe_launcher/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
mtoshidesu_testbirdclef_2026_v6,submission_protossm,/tmp/bc26_outputs_turn10/mtoshidesu_testbirdclef_2026_v6/submission_protossm.csv,240,234,614,41,0.98062194,0.93313195,0.63218391,0.79310345,0.00000001,0.9981269,0.10312306,0.16460622
mtoshidesu_testbirdclef_2026_v6,submission_sed,/tmp/bc26_outputs_turn10/mtoshidesu_testbirdclef_2026_v6/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
raunakdey07_birdclef_2026_v6,submission_protossm,/tmp/bc26_outputs_turn10/raunakdey07_birdclef_2026_v6/submission_protossm.csv,240,234,614,41,0.98062194,0.93313195,0.63218391,0.79310345,0.00000001,0.9981269,0.10312306,0.16460622
raunakdey07_birdclef_2026_v6,submission_sed,/tmp/bc26_outputs_turn10/raunakdey07_birdclef_2026_v6/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
